Genes,1Y,4Y,8Y,23Y,30Y,36Y,40Y,Norm_Symbol
SSRP1,15458919.843020108,8705076.799872229,8705076.799872229,17045166.65519354,17045166.65519354,17045166.65519354,17045166.65519354,SSRP1
SST,22218719.08063113,115833014.6062985,9610822.213566966,10334641.818509942,10334641.818509942,10334641.818509942,10334641.818509942,SST
ST13,6308823580.567376,5901247198.9528475,7002446470.698806,4806181915.920788,5117422811.316167,3800696559.250267,3308187221.735245,ST13
STAG1,10126188.535888983,10126188.535888983,10126188.535888983,9688684.208313437,9688684.208313437,9688684.208313437,9688684.208313437,STAG1
STAG2,17179413.084035095,9727770.57021548,9727770.57021548,9694883.848639164,9694883.848639164,9694883.848639164,9694883.848639164,STAG2
STAM,649225255.1791246,1555157452.8697908,1956487598.038185,357521482.3326707,399274592.9480608,610629317.9427077,48581082.88341122,STAM
STAM2,54294891.6945494,9129566.157742567,9129566.157742567,14870874.250305338,14870874.250305338,14870874.250305338,14870874.250305338,STAM2
STAMBP,137266676.16061273,154936506.35996407,142636799.26028737,146582448.6911951,33563289.758658096,33563289.758658096,33563289.758658096,STAMBP
STAMBPL1,9284394.565571526,9284394.565571526,9284394.565571526,16559109.885012176,16559109.885012176,16559109.885012176,16559109.885012176,STAMBPL1
STARD10,23114252.86733697,9524241.811514406,59656150.62112825,11625935.04258474,11625935.04258474,11625935.04258474,11625935.04258474,STARD10
STAT1,662512906.5175741,424081457.088449,453118634.3921883,549002413.9040407,351285749.0471361,580440265.2495682,844346124.8230423,STAT1
STAT3,376090629.996242,161244995.65492296,240059477.2774334,336476650.48171026,93519333.32662992,243098292.38265488,220614421.07584643,STAT3
STAT5B,9703865.942841727,9703865.942841727,47548201.58832574,13108860.132494232,13108860.132494232,13108860.132494232,13108860.132494232,STAT5B
STAT6,10050762.28223095,10050762.28223095,10050762.28223095,9893964.74917779,9893964.74917779,9893964.74917779,9893964.74917779,STAT6
STAU1,10971135.252835382,10971135.252835382,10971135.252835382,10239575.583583338,52540290.60766967,54734586.41240539,10239575.583583338,STAU1
STAU2,20471882.02067395,9878927.84530601,9878927.84530601,9782295.277185244,9782295.277185244,9782295.277185244,9782295.277185244,STAU2
STIM1,83690980.87376823,141433394.7705289,59718866.78040949,28008945.157240354,59218006.48367681,61345092.49231313,28008945.157240354,STIM1
STIP1,7141378704.487452,7766444455.833187,6012619480.454226,5922532621.372453,6251623171.376568,6424547779.179536,3907423939.910965,STIP1
STK11,93756585.89097182,92090734.1093277,71597175.15701407,29243603.339633185,29243603.339633185,29243603.339633185,29243603.339633185,STK11
STK24,312456637.7544194,386335841.60987926,392279490.3568371,345969446.8482471,361740880.20822096,383097012.3731666,287465930.13793874,STK24
STK32C,534198083.24863017,773776602.0313506,597942171.6358068,494139025.5959671,982310189.4882222,863305892.8953936,481531000.5895655,STK32C
STK38L,51795654.52747248,46119563.77091341,45162417.36131343,42532210.92931106,42532210.92931106,42532210.92931106,42532210.92931106,STK38L
STK39,500011534.7764758,652870343.0253936,1492834728.1151404,1025316313.1269977,60034838.2824569,878375604.2415504,244362009.51361364,STK39
STMN1,11188398834.892963,10661016720.7804,11890303701.862923,9009283970.62986,11737161508.318268,9644354316.305672,7902860114.009132,STMN1
STMN2,1353450686.7894428,528852181.6884896,607413332.9313997,2839950603.8968506,2370297773.123751,2784352559.288098,74270094.60178164,STMN2
STMN3,36057579.85933086,9304469.639085678,54337417.41065604,13956133.039796088,13956133.039796088,283757154.8225794,13956133.039796088,STMN3
STOM,304306753.61111903,501766602.87726367,560175042.525825,602558201.5448622,279847076.6360622,575377857.0432088,1160036615.891774,STOM
STOML2,376135969.8484495,459741178.330078,382770365.45335245,808523222.9109899,215281501.8014905,703409554.5044044,736018335.6609896,STOML2
STON2,9445524.355556207,78138471.7245254,56498397.9132535,11216995.744205,11216995.744205,11216995.744205,11216995.744205,STON2
STRADA,48825809.32145058,65171426.70669282,45367049.40321713,25686899.75176401,25686899.75176401,25686899.75176401,25686899.75176401,STRADA
STRAP,3099736264.9342666,2790585953.718054,3002708041.862278,1966257675.7252667,900140729.7699375,1997431601.5140905,1334271758.3582435,STRAP
STRBP,9744470.329922216,9744470.329922216,149052323.90680188,12246171.080814488,12246171.080814488,12246171.080814488,12246171.080814488,STRBP
STRIP1,61193970.54846837,88356329.68186727,60798455.04263746,30516680.10752063,30516680.10752063,30516680.10752063,30516680.10752063,STRIP1
STRN,356179928.42227024,273524306.1936779,283650604.5356927,140998294.2050652,278888771.731158,165402548.56913814,54360323.854440704,STRN
STRN3,438117463.10863733,304775646.0223636,277234776.29413635,38296552.46154401,421743719.20229673,488122516.054235,38296552.46154401,STRN3
STRN4,242637656.573804,202929568.30999228,153052253.31851968,53839870.65904812,53839870.65904812,53839870.65904812,53839870.65904812,STRN4
STT3A,9071435.79069848,9071435.79069848,9071435.79069848,16929527.67935719,16929527.67935719,16929527.67935719,16929527.67935719,STT3A
STT3B,54164229.12877626,7411937.289359989,49995973.86917845,28749755.28693195,28749755.28693195,28749755.28693195,28749755.28693195,STT3B
STUB1,170441571.47442922,353368720.18771565,646148131.6619768,441768064.97107255,599092779.5892388,413456215.9978515,39705517.266803496,STUB1
STX12,1546943566.1606445,1329690867.2802498,1486270459.7741847,1257547380.4695578,1296951770.029165,1463060181.9825592,894481914.6925434,STX12
STX16,9711564.289632143,9711564.289632143,9711564.289632143,12855308.581528358,12855308.581528358,12855308.581528358,12855308.581528358,STX16
STX1A,14888722743.561138,18071832385.849083,16728716920.778618,12393493501.867369,11238745218.402977,15111410976.519053,9289687337.202032,STX1A
STX1B,16151933770.30807,26240608700.40509,20076370680.98476,16777197069.46335,14861591934.675709,19056059396.126305,12452943704.33423,STX1B
STX4,282880652.89779574,296041010.4650253,467858277.436152,218589994.62749997,30068818.90729686,30068818.90729686,173902583.56506857,STX4
STX5,21075213.566054635,9534904.11615513,49627264.03722119,13770885.57606389,13770885.57606389,13770885.57606389,13770885.57606389,STX5
STX6,24008991.61285295,64165284.80906125,35414825.15473766,16510892.234521735,16510892.234521735,16510892.234521735,16510892.234521735,STX6
