Genes,1Y,4Y,8Y,23Y,30Y,36Y,40Y,Norm_Symbol
SYMPK,18496651.110855397,9760095.020276984,9760095.020276984,10354645.892279293,10354645.892279293,10354645.892279293,10354645.892279293,SYMPK
SYN1,65315608105.50558,76023840903.24005,87990696374.50961,39279725958.65811,108723438027.10156,36323587167.75669,78712424220.82635,SYN1
SYN2,30336715029.419693,35025824445.78858,37189628066.39453,17324497241.460537,53045767836.94132,12989227879.13194,43062925203.662,SYN2
SYN3,1607118223.1669207,1334869979.7356308,1199658882.3412242,890466262.9130682,2667521304.1390057,943161880.7438821,1776534482.6854477,SYN3
SYNCRIP,2801006499.380325,2382037098.93346,2589343699.879797,2460428465.639428,2996527444.8231177,2501514849.5731874,2582471644.0782423,SYNCRIP
SYNE1,588285927.7431793,717965450.8500856,274833213.18424565,658295704.5753133,921836539.1319523,722353914.6496909,580215909.5408065,SYNE1
SYNE2,617257312.4751611,671328398.5359544,1091267819.1460788,1780314289.2037747,898939416.5102725,1282544367.0787704,753810938.1920393,SYNE2
SYNGAP1,5388653256.3529,6489896690.001472,7860067252.927294,4116854392.800949,10020822075.662672,1399816073.0901926,5561874884.553171,SYNGAP1
SYNGR1,1539615334.6852446,1758834412.8007846,2232669786.251293,958801710.4058576,2298585289.102143,775910817.8487381,2140539896.2386265,SYNGR1
SYNGR3,1568524233.3911774,1275038995.3947506,1320342474.3204615,151992893.01896665,2346503293.418697,877943028.7576263,3547264450.7498045,SYNGR3
SYNJ1,8625888744.958763,11447934072.48115,13812576005.571226,11645981401.253105,13022309084.124157,10675855387.265518,10357765066.934048,SYNJ1
SYNJ2BP,9435544.23069573,9435544.23069573,9435544.23069573,11226002.228591058,11226002.228591058,11226002.228591058,11226002.228591058,SYNJ2BP
SYNPO,646572317.9660085,1773025045.8003812,811173382.5601907,555145149.6501962,3991473918.457675,243324377.89921108,954305769.5582092,SYNPO
SYNPR,335324959.4178799,531838012.2610559,922891277.7775424,354769118.7612044,655909129.1627028,261258603.383038,680805116.5454304,SYNPR
SYNRG,21991693.85545229,9832566.718949627,9832566.718949627,12352508.465641512,12352508.465641512,12352508.465641512,12352508.465641512,SYNRG
SYP,13375330503.107769,10734214406.789448,16226520485.792,9717189703.240295,23216136946.41281,8343723036.791806,20096049162.214767,SYP
SYPL1,9460304.231688572,9460304.231688572,9460304.231688572,13138547.787014132,13138547.787014132,13138547.787014132,13138547.787014132,SYPL1
SYT1,20228987258.49252,23694263212.783882,33381555877.365482,17667750499.160534,34080771319.264988,17012446105.798737,31967441831.50381,SYT1
SYT11,9825965.88807057,9825965.88807057,9825965.88807057,10380524.263378937,10380524.263378937,10380524.263378937,10380524.263378937,SYT11
SYT12,179523162.4696769,457113802.22582376,398340412.9009083,77618591.05623475,525253577.9039166,146871160.54895487,391908491.26598483,SYT12
SYT17,190639117.3366709,99101584.76907028,116208964.139328,75393117.19981225,203151694.84949324,16591801.114530366,217809224.8322375,SYT17
SYT2,371220942.1635044,7814539.378788735,251651934.75687748,20074396.12660986,20074396.12660986,20074396.12660986,20074396.12660986,SYT2
SYT3,224236453.8609015,153766451.22483447,126332860.82222848,33817657.29319664,230896436.25515252,33817657.29319664,224597420.5079565,SYT3
SYT5,161652922.02869645,119856655.94039038,83760512.39039159,25574502.173212856,310370558.2020664,25574502.173212856,1198027961.4076939,SYT5
SYT6,9537703.606932664,9537703.606932664,55464746.78105623,13348953.422137056,13348953.422137056,13348953.422137056,13348953.422137056,SYT6
SYT7,955675984.9065516,956318516.7513293,1213128081.2285008,812927840.7312219,1472191082.3219647,507480084.0226956,1326244759.654886,SYT7
SYT9,9778454.928011747,9778454.928011747,9778454.928011747,9673376.758583652,9673376.758583652,9673376.758583652,9673376.758583652,SYT9
TAB1,8279566.4986545015,8279566.4986545015,8279566.4986545015,22354583.622991964,22354583.622991964,22354583.622991964,22354583.622991964,TAB1
TACC1,108130844.30432719,160531660.11098537,118963952.47110356,291321162.6929669,129958831.52553892,203806479.04952648,28506735.79245175,TACC1
TACO1,155326515.22857952,75119898.76787008,331783378.20296633,228985266.33299065,511991148.1574068,301800004.14202225,440282799.05783206,TACO1
TAF15,91961953.6509201,80402482.48263246,94476254.91483104,34753081.77778356,34753081.77778356,34753081.77778356,34753081.77778356,TAF15
TAGLN,2150897299.0073133,349886743.77683777,1239207885.719702,728131799.8531773,553681147.8752433,2049247177.075092,14904069312.082294,TAGLN
TAGLN2,2266465571.283518,1399467796.9533894,773199177.0179862,1424684981.6487243,1470068005.4284654,1166324928.93425,2892775419.3496733,TAGLN2
TAGLN3,7391888029.057715,7935186284.463576,8783737064.994123,9815421064.185472,10128604954.582094,6853324142.7879,7039432572.820973,TAGLN3
TALDO1,3416311544.1737514,5171175632.61435,4370247559.936739,8933473220.951809,8234719045.970766,9623219681.47995,6480030419.4460535,TALDO1
TAMM41,169334307.07784507,117571016.40420106,179662470.67535746,32660564.94052537,211546765.7639191,32660564.94052537,118962003.10249178,TAMM41
TANC1,10093012.92950213,10093012.92950213,10093012.92950213,9902629.16190293,9902629.16190293,9902629.16190293,9902629.16190293,TANC1
TANC2,712924067.0161041,730027502.8225349,570569251.9940673,636884945.2344303,926788946.1486703,482243092.20968163,594276122.3186343,TANC2
TANGO2,9362975.532928072,9362975.532928072,9362975.532928072,14129060.709444828,14129060.709444828,14129060.709444828,14129060.709444828,TANGO2
TAOK2,20705723.379182603,30946233.58442624,9978492.882855883,11838297.109525375,11838297.109525375,11838297.109525375,11838297.109525375,TAOK2
TAOK3,9804658.28497281,9804658.28497281,9804658.28497281,10364427.34098409,10364427.34098409,10364427.34098409,10364427.34098409,TAOK3
TARDBP,439860915.79874784,462952583.91148937,284622851.67928445,559624996.0163399,755585784.3911754,361213877.5410914,506097026.87084746,TARDBP
TARS,1472046598.7844365,1127570819.2362242,942005132.4004221,1218678753.5333116,861591574.4068136,1555667539.379085,994846731.1834863,TARS
TARSL2,83353270.16551554,224936253.32888857,192352708.08156452,277175968.4986281,38155578.056857176,38155578.056857176,38155578.056857176,TARSL2
TATDN1,9952377.091525314,9952377.091525314,9952377.091525314,13117853.922913564,13117853.922913564,13117853.922913564,13117853.922913564,TATDN1
TAX1BP3,10771136.62068526,10771136.62068526,10771136.62068526,10453059.421623344,10453059.421623344,10453059.421623344,10453059.421623344,TAX1BP3
TAZ,36935755.11337379,250457728.0528313,284638139.14608014,94245832.44919364,94245832.44919364,94245832.44919364,94245832.44919364,TAZ
TBC1D1,28070734.90070685,8487840.40448714,8487840.40448714,16446640.489757873,16446640.489757873,16446640.489757873,16446640.489757873,TBC1D1
TBC1D10B,244819807.57491168,264789204.4572083,302215120.24033624,381181894.9410913,554750066.4175079,460432094.19678223,450525453.8100286,TBC1D10B
TBC1D13,140712517.39987817,124040507.7160083,180956474.50650287,204318902.2597644,150517508.23041394,220811610.03988612,127000328.9366647,TBC1D13
TBC1D15,89613052.6341172,140074760.9570323,159427836.65186548,134808004.93927282,165099398.68321508,157097569.96961394,152969155.68485782,TBC1D15
TBC1D17,165115497.77636057,532017522.21837616,99801205.53045066,51518652.53816926,51518652.53816926,466634879.0408901,378410203.8848605,TBC1D17
TBC1D22B,8627823.719955193,83260949.37879176,57728708.08509829,16725677.069413286,16725677.069413286,16725677.069413286,16725677.069413286,TBC1D22B
TBC1D24,1751908297.439825,1440391075.6056302,1043451213.588329,984183872.6939896,1732669496.3202286,1278737033.0279145,1230021398.3247855,TBC1D24
TBC1D4,10012317.263905743,10012317.263905743,10012317.263905743,9501087.007046463,9501087.007046463,9501087.007046463,9501087.007046463,TBC1D4
TBC1D7,10134382.424044382,10134382.424044382,10134382.424044382,10357779.398189897,101698920.25256269,10357779.398189897,10357779.398189897,TBC1D7
TBC1D9B,331552059.7588667,164835758.51051322,167383605.54830045,244818807.56862733,343911224.68807834,134449978.21798307,41662158.65152827,TBC1D9B
TBCA,2035064386.1288679,2105390664.496186,1900046071.2098265,2330532983.5938053,2417433604.5131164,2118004647.318656,2166155966.63228,TBCA
TBCB,2160361113.107788,2385647009.910385,1734738122.4151158,2926035799.948401,2546083681.493652,2941509563.4089365,2249804366.8288817,TBCB
TBCC,151926971.96021265,149794373.25112125,176492267.46761936,304735979.12498325,274076978.5845669,30458123.177566696,265924084.33769208,TBCC
TBCD,1672199249.7648313,1469187883.737996,1542854449.4056227,1503345356.88369,1475976943.6761105,1654833239.5518212,1360079368.7963085,TBCD
TBCE,102582973.86641428,142502774.647011,96506460.78920038,37344115.78565414,230002816.49777701,37344115.78565414,37344115.78565414,TBCE
TBCEL,10857855.36947404,10857855.36947404,10857855.36947404,10318766.664973933,10318766.664973933,35918093.77724798,33745673.82924784,TBCEL
TBCK,91018587.68025535,51803968.07938312,99299872.27909172,29016951.51782536,29016951.51782536,29016951.51782536,29016951.51782536,TBCK
TBK1;IKBKE,21846853.818931628,192629213.3106695,3181169.000228774,219036655.17722124,303950210.08694863,255607254.9351001,30200604.461746827,TBK1
TBL1XR1,9608192.768453656,44757437.46057882,9608192.768453656,10721686.174373414,10721686.174373414,10721686.174373414,10721686.174373414,TBL1XR1
TBPL1,10001895.508795165,10001895.508795165,10001895.508795165,10407393.768432874,10407393.768432874,10407393.768432874,10407393.768432874,TBPL1
TBRG4,59314719.87435462,54023770.68949878,33837448.04104825,44147670.05313025,44147670.05313025,44147670.05313025,44147670.05313025,TBRG4
TCEA1,9953706.97967467,9953706.97967467,9953706.97967467,11509164.42684744,11509164.42684744,11509164.42684744,11509164.42684744,TCEA1
TCEAL2,10113519.46114259,10113519.46114259,10113519.46114259,11198802.302046634,11198802.302046634,11198802.302046634,11198802.302046634,TCEAL2
TCEAL3,9362012.375952885,9362012.375952885,94367503.0209684,13022185.171805473,13022185.171805473,13022185.171805473,13022185.171805473,TCEAL3
TCEAL5,339530002.80784464,360897473.5441935,383069021.465475,38814150.76067008,1024986889.4715672,333511050.62861466,826219586.2709786,TCEAL5
TCEAL6,41483572.62082502,25452620.02543552,39345941.7352531,12724463.983740058,12724463.983740058,12724463.983740058,12724463.983740058,TCEAL6
TCEB1,1378563972.7536213,1345176788.1816854,1731801049.9104939,1654043865.7806456,2029893994.0393894,1758596374.1477005,1457523156.9379814,TCEB1
TCEB2,1959836976.0495427,2119901723.2927926,2619785865.1007237,2688191500.432129,2420922103.812291,2376375069.7493343,2170579988.2652287,TCEB2
TCERG1,25703583.05272104,9611998.954643317,9611998.954643317,12658323.542454993,12658323.542454993,12658323.542454993,12658323.542454993,TCERG1
TCF25,48459774.13349791,23657627.350279905,85099225.14190167,32616136.74859572,32616136.74859572,32616136.74859572,32616136.74859572,TCF25
TCOF1,9925563.418639347,9925563.418639347,9925563.418639347,10210954.754374666,10210954.754374666,10210954.754374666,10210954.754374666,TCOF1
