Genes,1Y,4Y,8Y,23Y,30Y,36Y,40Y,Norm_Symbol
MTFR2,595002707.4363992,697817579.5867758,582205333.5927597,13814238.791359555,13814238.791359555,225216835.11128297,13814238.791359555,MTFR2
MTHFD1,2547055071.9531093,2571413302.0443873,2030015579.7331648,3078605677.8080816,2692351840.484277,2710589759.204485,1819394345.3659425,MTHFD1
MTHFD1L,27435617.050727457,92937426.37110232,9465134.456664633,13599281.55312536,13599281.55312536,13599281.55312536,13599281.55312536,MTHFD1L
MTM1,55306840.57056466,85237577.43649308,55245887.25709288,27606652.462901346,27606652.462901346,27606652.462901346,27606652.462901346,MTM1
MTMR1,596900489.3026867,498911964.2009994,343836391.15941983,474998919.4802213,458870321.81456447,412926122.64523,273375033.521948,MTMR1
MTMR10,9170876.974282796,9170876.974282796,9170876.974282796,14191705.268184282,14191705.268184282,14191705.268184282,14191705.268184282,MTMR10
MTMR12,8055876.735981412,8055876.735981412,8055876.735981412,394134413.8972589,21270620.93136407,21270620.93136407,218331802.63712665,MTMR12
MTMR2,274537373.6775762,393139166.5227665,200223892.76498616,239646756.66159496,187719701.5201508,295592315.2715661,179622218.24210727,MTMR2
MTMR6,16094361.438426035,38136240.690099,35938637.86571071,25850067.246061586,25850067.246061586,25850067.246061586,25850067.246061586,MTMR6
MTMR7,9794031.335786382,9794031.335786382,49531454.53368283,10659739.398328602,10659739.398328602,10659739.398328602,10659739.398328602,MTMR7
MTMR9,133238353.19772612,137293156.88569254,109354898.74638684,143286162.58993748,121433632.53876482,96646053.63387962,131061718.65426388,MTMR9
MTOR,525810451.1983012,386745718.316948,554937040.5929343,416866579.6783802,307972906.56300896,394110420.1311323,267733287.41720772,MTOR
MTPN,5548249283.598002,5198220972.593348,3909809148.715081,5327154832.069982,5367012983.463614,5513269600.169425,4849639205.886645,MTPN
MTR,10129014.403447123,10129014.403447123,10129014.403447123,9684026.72514611,9684026.72514611,9684026.72514611,9684026.72514611,MTR
MTSS1,10131993.985149523,10131993.985149523,10131993.985149523,11068779.385378417,11068779.385378417,11068779.385378417,11068779.385378417,MTSS1
MTSS1L,90067927.42443782,209725745.1943816,104192397.0204875,463446617.73973733,281862837.8655446,358535416.4324643,39913621.86742054,MTSS1L
MTURN,1253341515.3151937,783606316.4978245,1185753266.1854734,631392109.9115553,626833915.2311804,823486022.4254758,504526847.967876,MTURN
MTX1,605265546.5092423,687682461.6049278,637219196.892322,658082034.3264074,494844152.0011282,721367069.6069772,470398684.4593909,MTX1
MTX2,1281064835.739544,3219468703.7522697,1549566883.4823296,1202008844.333265,1524702255.3146918,1476605471.3316312,847747328.7669715,MTX2
MTX3,47069724.59969968,237219215.1551121,157228168.68246642,75471297.87681244,161408603.45062834,168235060.16172776,103419111.99596426,MTX3
MUT,1396040550.3971488,2350741433.820505,1735590686.6635673,1247220689.1339958,1123005806.7940235,1596203456.8058481,970396602.4265496,MUT
MVB12B,130280130.76383898,87445055.4339427,84680818.31847365,26082031.777194466,26082031.777194466,26082031.777194466,26082031.777194466,MVB12B
MVD,676570815.3178786,646469920.7009254,566040581.4357805,385564025.32642037,349518924.6272897,44003766.774607934,550622738.8303274,MVD
MVK,268224375.40268984,107889776.93926372,102306935.308698,176829975.3142713,123935317.35897242,160011809.91365653,29323456.019767724,MVK
MVP,296690732.7347843,1309910343.225233,1062425455.3606924,1329965421.9483886,1003922258.9269774,2308745214.200983,4353071982.294768,MVP
MX1,78420859.62664084,26879298.398090426,348658281.87261266,15356921.822071958,15356921.822071958,233799667.07416296,434606522.04931206,MX1
MXRA7,117530849.83930892,137716786.191971,110905653.80521332,129630177.23076208,120875080.3549352,133836799.59310484,135394051.60569248,MXRA7
MYADM,235666216.340394,249416720.54057223,275175698.2765225,433997320.8136727,256511037.46826687,349626118.2206082,27445656.723445106,MYADM
MYBBP1A,9808968.322337903,9808968.322337903,9808968.322337903,11920706.463393167,11920706.463393167,11920706.463393167,11920706.463393167,MYBBP1A
MYCBP2,47746993.65687928,38610710.79126428,22730563.924108267,24256001.14763901,66568783.28801822,24256001.14763901,24256001.14763901,MYCBP2
MYEF2,260682064.18209425,218250842.31882635,74738328.88580361,263497803.61284468,238454826.83128512,28659691.70896927,28659691.70896927,MYEF2
