,Genes,Norm_Symbol,Phosphosite_hu_no
8045,LETM2,LETM2,8
8046,LETMD1,LETMD1,4
8047,LPXN,LPXN,22
8048,LEXM,LEXM,11
8049,LFNG,LFNG,3
8050,LGALS12,LGALS12,4
8051,LGALS3BP,LGALS3BP,13
8052,LGALS7B,LGALS7B,4
8053,LGALS9B,LGALS9B,1
8054,LGALS9C,LGALS9C,1
8055,LGI1,LGI1,4
8056,LGI2,LGI2,5
8057,LGI3,LGI3,1
8058,LGI4,LGI4,2
8059,LGMN,LGMN,7
8060,LGR4,LGR4,10
8061,LGR5,LGR5,12
8062,LGR6,LGR6,7
8063,RXFP2,RXFP2,1
8064,LHFPL6,LHFPL6,2
8065,LHFPL3,LHFPL3,1
8066,LHPP,LHPP,6
8067,LHCGR,LHCGR,3
8068,LHX1,LHX1,2
8069,LHX2,LHX2,6
8070,LHX3,LHX3,7
8071,LHX5,LHX5,2
8072,LHX6,LHX6,2
8073,LHX8,LHX8,1
8074,LHX9,LHX9,5
8075,LIAS,LIAS,2
8076,C17ORF97,C17ORF97,5
8077,LIFR,LIFR,19
8078,LIG1,LIG1,45
8079,LIG3,LIG3,33
8080,LIG4,LIG4,7
8081,LILRA1,LILRA1,4
8082,LILRA2,LILRA2,2
8083,LILRA3,LILRA3,5
8084,LILRA4,LILRA4,6
8085,LILRA5,LILRA5,3
8086,LILRA6,LILRA6,7
8087,LILRB1,LILRB1,10
8088,LILRB2,LILRB2,9
8089,LILRB3,LILRB3,10
8090,LILRB4,LILRB4,12
8091,LILRB5,LILRB5,8
8092,LIMCH1,LIMCH1,144
8093,LIMD1,LIMD1,47
8094,LIMD2,LIMD2,7
8095,LIME1,LIME1,18
8096,LIMK1,LIMK1,19
8097,LIMK2,LIMK2,21
8098,LIMS1,LIMS1,9
8099,LIMS2,LIMS2,8
8100,LIMS3,LIMS3,3
8101,LIMS4,LIMS4,1
8102,LIN28A,LIN28A,4
8103,LIN28B,LIN28B,8
8104,LIN52,LIN52,6
8105,LIN7A,LIN7A,2
8106,LIN7B,LIN7B,2
8107,LIN7C,LIN7C,5
8108,LIN9,LIN9,27
8109,LINC00469,LINC00469,4
8110,LINC00472,LINC00472,2
8111,LINC00518,LINC00518,2
8112,LINC00526,LINC00526,1
8113,LINC00614,LINC00614,1
8114,LINGO1,LINGO1,7
8115,LINGO4,LINGO4,7
8116,LINS1,LINS1,11
8117,CNTROB,CNTROB,17
8118,LIPA,LIPA,4
8119,LIPC,LIPC,1
8120,LIPF,LIPF,3
8121,LIPG,LIPG,4
8122,LIPH,LIPH,3
8123,LIPI,LIPI,5
8124,LIPJ,LIPJ,1
8125,LIPK,LIPK,1
8126,LIPM,LIPM,4
8127,PPFIA1,PPFIA1,63
8128,PPFIA2,PPFIA2,23
8129,PPFIA4,PPFIA4,13
8130,PPFIBP1,PPFIBP1,73
8131,LIPT1,LIPT1,2
8132,LSR,LSR,65
8133,LITAF,LITAF,11
8134,LIX1L,LIX1L,6
8135,LKAAEAR1,LKAAEAR1,2
8136,MARF1,MARF1,35
8137,STK11,STK11,15
8138,LLGL1,LLGL1,15
8139,LLGL2,LLGL2,24
8140,LMAN1,LMAN1,7
8141,LMAN2,LMAN2,9
8142,LMBR1,LMBR1,3
8143,LMBR1L,LMBR1L,3
8144,LMBRD1,LMBRD1,6
8145,LMBRD2,LMBRD2,16
8146,LMCD1,LMCD1,15
8147,LMF1,LMF1,1
8148,LMF2,LMF2,9
8149,LMLN,LMLN,10
8150,LMNTD2,LMNTD2,3
8151,LMO1,LMO1,1
8152,LMO2,LMO2,2
8153,LMO3,LMO3,1
8154,LMO4,LMO4,2
8155,PRICKLE3,PRICKLE3,18
8156,LMO7,LMO7,217
8157,LMOD1,LMOD1,19
8158,LMOD2,LMOD2,9
8159,LMOD3,LMOD3,3
8160,AATK,AATK,15
8161,LMTK2,LMTK2,47
8162,LMTK3,LMTK3,8
8163,LMX1A,LMX1A,1
8164,LMX1B,LMX1B,7
8165,SH2B3,SH2B3,19
8166,LNP1,LNP1,6
8167,LNX1,LNX1,12
8168,LNX2,LNX2,4
8169,LOC100128108,LOC100128108,2
8170,HGC6.3,HGC6.3,1
8171,LOC100128265,LOC100128265,1
8172,LOC100128340,LOC100128340,8
8173,LOC100128364,LOC100128364,1
8174,LOC100128482,LOC100128482,2
8175,LOC100129240,LOC100129240,1
8176,LOC100129473,LOC100129473,1
8177,MKRN2OS,MKRN2OS,5
8178,LOC100129540,LOC100129540,1
8179,LOC100129677,LOC100129677,3
8180,LOC100507402,LOC100507402,3
8181,LOC100129869,LOC100129869,2
8182,LOC100130232,LOC100130232,2
8183,LOC100130533,LOC100130533,5
8184,LOC100130598,LOC100130598,1
8185,LOC100130764,LOC100130764,2
8186,LOC100131107,LOC100131107,3
8187,LOC100134317,LOC100134317,1
8188,LOC100131635,LOC100131635,3
8189,LOC100132174,LOC100132174,3
8190,LOC100132229,LOC100132229,1
8191,NPIPB5,NPIPB5,13
8192,LOC100132661,LOC100132661,2
8193,LINC00856,LINC00856,3
8194,LOC100133029,LOC100133029,2
8195,LOC100133542,LOC100133542,17
8196,LOC100287576,LOC100287576,2
8197,LOC100287837,LOC100287837,3
8198,LOC100288208,LOC100288208,2
8199,MTRNR2L7,MTRNR2L7,1
8200,LOC100505502,LOC100505502,3
8201,LOC100505870,LOC100505870,1
8202,PPP5D1,PPP5D1,2
8203,LOC100506073,LOC100506073,4
8204,LOC100506127,LOC100506127,3
8205,LOC100506242,LOC100506242,2
8206,LOC100506417,LOC100506417,1
8207,LOC100506422,LOC100506422,2
8208,LOC100506557,LOC100506557,2
8209,C16ORF95,C16ORF95,7
8210,LOC100506928,LOC100506928,3
8211,LOC100507236,LOC100507236,1
8212,LOC100507386,LOC100507386,3
8213,LOC100507445,LOC100507445,1
8214,LOC100507494,LOC100507494,1
8215,MCPH1-AS1,MCPH1-AS1,1
8216,LOC100508226,LOC100508226,1
8217,LOC100509763,LOC100509763,1
8218,LOC100509780,LOC100509780,3
8219,LOC100509814,LOC100509814,3
8220,LOC100653147,LOC100653147,2
8221,LOC113230,LOC113230,7
8222,HSD3BP4,HSD3BP4,3
8223,CST9LP1,CST9LP1,1
8224,C5ORF58,C5ORF58,1
8225,C7ORF57,C7ORF57,6
8226,C11ORF94,C11ORF94,1
8227,C11ORF84,SPINDOC,19
8228,C3ORF79,C3ORF79,2
8229,CREBRF,CREBRF,14
8230,C7ORF66,C7ORF66,1
8231,C12ORF77,C12ORF77,2
8232,LOC254896,LOC254896,1
8233,C17ORF105,CFAP97D1,1
8234,YWHAEP7,YWHAEP7,1
8235,AATBC,AATBC,1
8236,CLPSL1,CLPSL1,2
8237,LOC340268,LOC340268,4
8238,CXORF67,CXORF67,22
8239,C19ORF81,C19ORF81,3
8240,PRR25,PRR25,1
8241,LOC388210,LOC388210,1
8242,TRABD2B,TRABD2B,2
8243,FAM209B,FAM209B,2
8244,LOC388813,LOC388813,2
8245,OGFRP1,OGFRP1,2
8246,LINC00937,LINC00937,2
8247,LOC389831,LOC389831,1
8248,LOC400499,LOC400499,3
8249,C20ORF202,C20ORF202,1
8250,LOC400940,LOC400940,1
8251,LOC100287704,LOC100287704,4
8252,LOC402624,LOC402624,1
8253,LOC440683,LOC440683,1
8254,LOC440896,LOC440896,1
8255,LINC01124,LINC01124,1
8256,LOC441081,LOC441081,10
8257,LOC441239,LOC441239,2
8258,C12ORF60,C12ORF60,3
8259,WDPCP,WDPCP,3
8260,LOC554249,LOC554249,2
8261,ZBED8,ZBED8,3
8262,LOC642452,LOC642452,2
8263,SAGE2P,SAGE2P,5
8264,FAM90A27P,FAM90A27P,1
8265,C4ORF51,C4ORF51,6
8266,CYP4F62P,CYP4F62P,1
8267,LOC650293,LOC650293,2
8268,KRTAP9-1,KRTAP9-1,1
8269,LOC729159,LOC729159,1
8270,LOC729461,LOC729461,7
8271,LOC729978,LOC729978,1
8272,LOC732210,LOC732210,4
8273,STPG1,STPG1,6
8274,LOC93622,LOC93622,2
8275,BORCS5,BORCS5,8
8276,STK10,STK10,38
8277,LONP2,LONP2,8
8278,LONRF1,LONRF1,9
8279,LONRF2,LONRF2,5
8280,LONRF3,LONRF3,11
8281,LOR,LOR,1
8282,LOX,LOX,1
8283,LOXHD1,LOXHD1,22
8284,LOXL1,LOXL1,3
8285,LOXL2,LOXL2,5
8286,LOXL3,LOXL3,1
8287,LOXL4,LOXL4,4
8288,LPA,LPA,8
8289,LPAR1,LPAR1,7
8290,LPAR4,LPAR4,2
8291,LPCAT1,LPCAT1,2
8292,LPGAT1,LPGAT1,3
8293,LPIN1,LPIN1,39
8294,LPIN2,LPIN2,29
8295,LPIN3,LPIN3,18
8296,LPL,LPL,8
8297,BPIFB1,BPIFB1,2
8298,LPO,LPO,12
8299,LPP,LPP,54
8300,PLPPR2,PLPPR2,4
8301,PLPPR3,PLPPR3,8
8302,PLPPR4,PLPPR4,13
8303,FLVCR1-AS1,FLVCR1-DT,2
8304,LRAT,LRAT,3
8305,LRBA,LRBA,78
8306,LRCH1,LRCH1,16
8307,LRCH2,LRCH2,13
8308,LRCH3,LRCH3,26
8309,LRCH4,LRCH4,34
8310,LRFN1,LRFN1,19
8311,LRFN2,LRFN2,13
8312,LRFN3,LRFN3,7
8313,LRFN4,LRFN4,9
8314,LRFN5,LRFN5,7
8315,LRG1,LRG1,1
8316,LRGUK,LRGUK,6
8317,LRIF1,LRIF1,23
8318,LRIG1,LRIG1,16
8319,LRIG2,LRIG2,13
8320,LRIG3,LRIG3,20
8321,LRIT1,LRIT1,3
8322,LRIT2,LRIT2,1
8323,LRIT3,LRIT3,7
8324,LRMDA,LRMDA,4
8325,LRMP,LRMP,27
8326,LRP1,LRP1,34
8327,LRP10,LRP10,12
8328,LRP11,LRP11,8
8329,LRP12,LRP12,18
8330,LRP1B,LRP1B,16
8331,LRP2,LRP2,45
8332,LRP2BP,LRP2BP,4
8333,LRP3,LRP3,3
8334,LRP4,LRP4,13
8335,LRP5,LRP5,13
8336,LRP6,LRP6,43
8337,LRP8,LRP8,6
8338,LRPAP1,LRPAP1,13
8339,LRPPRC,LRPPRC,53
8340,LRRC1,LRRC1,19
8341,LRRC10,LRRC10,3
8342,LRRC10B,LRRC10B,2
8343,LRRC14,LRRC14,1
8344,LRRC14B,LRRC14B,2
8345,LRRC15,LRRC15,1
8346,CARMIL1,CARMIL1,63
8347,CARMIL3,CARMIL3,17
8348,LRRC17,LRRC17,5
8349,LRRC18,LRRC18,2
8350,LRRC19,LRRC19,3
8351,LRRC2,LRRC2,2
8352,LRRC20,LRRC20,4
8353,LRRC23,LRRC23,1
8354,LRRC24,LRRC24,1
8355,LRRC26,LRRC26,2
8356,LRRC27,LRRC27,7
8357,LRRC28,LRRC28,2
8358,LRRC29,LRRC29,1
8359,LRRC30,LRRC30,1
8360,LRRC31,LRRC31,6
8361,LRRC32,LRRC32,11
8362,LRRC34,LRRC34,4
8363,TBCEL,TBCEL,4
8364,LRRC36,LRRC36,9
8365,LRRC37A,LRRC37A,8
8366,LRRC37A2,LRRC37A2,8
8367,LRRC37A3,LRRC37A3,12
8368,LRRC37B,LRRC37B,8
8369,LRRC39,LRRC39,1
8370,LRRC3B,LRRC3B,4
8371,LRRC3C,LRRC3C,5
8372,LRRC4,LRRC4,7
8373,LRRC40,LRRC40,15
8374,LRRC41,LRRC41,14
8375,LRRC42,LRRC42,4
8376,LRRC45,LRRC45,12
8377,LRRC46,LRRC46,1
8378,LRRC47,LRRC47,15
8379,DRC3,DRC3,1
8380,LRRC49,LRRC49,6
8381,LRRC4B,LRRC4B,8
8382,LRRC4C,LRRC4C,9
8383,DNAAF1,DNAAF1,5
8384,LRTOMT,LRTOMT,4
8385,LRRC53,LRRC53,6
8386,LRRC56,LRRC56,7
8387,LRRC57,LRRC57,7
8388,LRRC58,LRRC58,4
8389,LRRC59,LRRC59,7
8390,LRRC6,LRRC6,4
8391,LRRC61,LRRC61,2
8392,LRRC63,LRRC63,1
8393,LRRC66,LRRC66,10
8394,PPP1R42,PPP1R42,2
8395,PPP1R37,PPP1R37,12
8396,LRRC69,LRRC69,1
8397,LRRC7,LRRC7,23
8398,LRRC70,LRRC70,3
8399,LRRC71,LRRC71,9
8400,LRRC72,LRRC72,1
8401,LRRC73,LRRC73,6
8402,LRRC74A,LRRC74A,3
8403,LRRC8A,LRRC8A,17
8404,LRRC8B,LRRC8B,3
8405,LRRC8C,LRRC8C,7
8406,LRRC8D,LRRC8D,17
8407,LRRC8E,LRRC8E,4
8408,LRRC9,LRRC9,2
8409,LRRCC1,LRRCC1,8
8410,LRRFIP1,LRRFIP1,58
8411,LRRFIP2,LRRFIP2,45
8412,LRRIQ1,LRRIQ1,12
8413,CEP97,CEP97,28
8414,LRRIQ3,LRRIQ3,3
8415,LRRIQ4,LRRIQ4,1
8416,LRRK1,LRRK1,26
8417,LRRK2,LRRK2,96
8418,LRRN1,LRRN1,6
8419,LRRN2,LRRN2,5
8420,LRRN4,LRRN4,8
8421,LRRTM1,LRRTM1,3
8422,LRRTM2,LRRTM2,7
8423,LRRTM3,LRRTM3,1
8424,LRRTM4,LRRTM4,5
8425,LRSAM1,LRSAM1,18
8426,LRTM1,LRTM1,1
8427,LRTM2,LRTM2,1
8428,LRWD1,LRWD1,14
8429,LSAMP,LSAMP,2
8430,KDM1A,KDM1A,30
8431,LSG1,LSG1,19
8432,LSM1.00,LSM1.00,3
8433,LSM11.00,LSM11.00,13
8434,LSM12.00,LSM12.00,7
8435,LSM14B,LSM14B,36
8436,LSM2.00,LSM2.00,8
8437,LSM3.00,LSM3.00,2
8438,LSM5.00,LSM5.00,1
8439,LSM7.00,LSM7.00,4
8440,LSM8.00,LSM8.00,5
8441,NAA38,NAA38,6
8442,LSP1,LSP1,34
8443,GPALPP1,GPALPP1,9
8444,LSS,LSS,7
8445,SLCO1B7,SLCO1B7,3
8446,LST1,LST1,3
8447,MLST8,MLST8,7
8448,LTA4H,LTA4H,16
8449,PTGR1,PTGR1,7
8450,LTB4R,LTB4R,8
8451,LTB4R2,LTB4R2,4
8452,LTBP1,LTBP1,22
8453,LTBP2,LTBP2,12
8454,LTBP3,LTBP3,9
8455,LTBP4,LTBP4,24
8456,LTBR,LTBR,3
8457,LTC4S,LTC4S,2
8458,LTF,LTF,18
8459,LTK,LTK,6
8460,LTV1,LTV1,31
8461,BCAM,BCAM,16
8462,LUC7L,LUC7L,12
8463,LUC7L2,LUC7L2,24
8464,LUM,LUM,11
8465,LNPK,LNPK,17
8466,LURAP1,LURAP1,2
8467,LURAP1L,LURAP1L,5
8468,LUZP1,LUZP1,92
8469,LUZP2,LUZP2,2
8470,LUZP4,LUZP4,3
8471,NCAPG2,NCAPG2,18
8472,LUZP6,LUZP6,4
8473,LVRN,LVRN,3
8474,LXN,LXN,2
8475,NR1H3,NR1H3,7
8476,NR1H2,NR1H2,4
8477,LY6E,LY6E,1
8478,LY6G5B,LY6G5B,3
8479,LY6G6D,LY6G6D,1
8480,LY6H,LY6H,2
8481,LY6K,LY6K,1
8482,LY75,LY75,13
8483,LY86,LY86,1
8484,LY96,LY96,2
8485,LYAR,LYAR,14
8486,LYG1,LYG1,1
8487,LYG2,LYG2,1
8488,LYL1,LYL1,5
8489,LYN,LYN,47
8490,LYNX1,LYNX1,1
8491,LYPD3,LYPD3,3
8492,LYPD4,LYPD4,1
8493,LYPD5,LYPD5,1
8494,LYPD8,LYPD8,2
8495,LYPLA1,LYPLA1,2
8496,LYPLA2,LYPLA2,1
8497,PLA2G15,PLA2G15,2
8498,LYPLAL1,LYPLAL1,3
8499,MTDH,MTDH,62
8500,LYRM1,LYRM1,1
8501,LYRM4,LYRM4,6
8502,ETFRF1,ETFRF1,3
8503,LYRM7,LYRM7,1
8504,LYSMD1,LYSMD1,20
8505,LYSMD3,LYSMD3,8
8506,LYSMD4,LYSMD4,2
8507,LYST,LYST,66
8508,LYZ,LYZ,2
8509,LYZL1,LYZL1,4
8510,LYZL2,LYZL2,5
8511,LYZL4,LYZL4,3
8512,LYZL6,LYZL6,2
8513,LZIC,LZIC,4
8514,MAP3K13,MAP3K13,14
8515,OIT3,OIT3,8
8516,LZTFL1,LZTFL1,3
8517,LZTR1,LZTR1,9
8518,LZTS1,LZTS1,24
8519,LZTS2,LZTS2,29
8520,CSF1,CSF1,7
8521,M1AP,M1AP,3
8522,M6PR,M6PR,2
8523,MAATS1,MAATS1,13
8524,MAB21L1,MAB21L1,10
8525,MAB21L2,MAB21L2,8
8526,MACC1,MACC1,22
8527,CHRM1,CHRM1,7
8528,CHRM2,CHRM2,19
8529,CHRM3,CHRM3,6
8530,CHRM4,CHRM4,4
8531,CHRM5,CHRM5,5
8532,MACROD2,MACROD2,2
8533,MXD1,MXD1,10
8534,MAD1L1,MAD1L1,42
8535,MXI1,MXI1,3
8536,MAD2L1,MAD2L1,10
8537,MAD2L1BP,MAD2L1BP,13
8538,MAD2L2,MAD2L2,1
8539,MXD4,MXD4,1
8540,MADCAM1,MADCAM1,7
8541,MADD,MADD,67
8542,MAEA,MAEA,4
8543,MAEL,MAEL,7
8544,MRO,MRO,2
8545,MAF,MAF,6
8546,MAF1.00,MAF1.00,11
8547,MAFA,MAFA,9
8548,MAFB,MAFB,4
8549,MAFF,MAFF,3
8550,MAFG,MAFG,2
8551,MAFIP,MAFIP,1
8552,MAFK,MAFK,7
8553,MAG,MAG,5
8554,MAGEA1,MAGEA1,7
8555,MAGEA10,MAGEA10,7
8556,MAGEA11,MAGEA11,16
8557,MAGEA2,MAGEA2,1
8558,MAGEA4,MAGEA4,8
8559,MAGEA5,MAGEA5,1
8560,MAGEA6,MAGEA6,4
8561,MAGEA8,MAGEA8,2
8562,MAGEA9,MAGEA9,4
8563,MAGEB1,MAGEB1,3
8564,MAGEB10,MAGEB10,8
8565,MAGEB16,MAGEB16,2
8566,MAGEB18,MAGEB18,3
8567,MAGEB2,MAGEB2,8
8568,MAGEB3,MAGEB3,9
8569,MAGEB4,MAGEB4,8
8570,MAGEB5,MAGEB5,1
8571,MAGEB6,MAGEB6,6
8572,MAGEC1,MAGEC1,12
8573,MAGEC2,MAGEC2,4
8574,MAGEC3,MAGEC3,9
8575,MAGED2,MAGED2,36
8576,MAGED4,MAGED4,12
8577,MAGEE1,MAGEE1,9
8578,MAGEF1,MAGEF1,2
8579,NSMCE3,NSMCE3,9
8580,MAGEH1,MAGEH1,3
8581,MAGEL2,MAGEL2,3
8582,MAGEA3,MAGEA3,3
8583,MAGEB17,MAGEB17,1
8584,MAGI1,MAGI1,40
8585,MAGI3,MAGI3,30
8586,MAGIX,MAGIX,8
8587,PAM16,PAM16,7
8588,MAGOH,MAGOH,6
8589,MAGOHB,MAGOHB,5
8590,MAGT1,MAGT1,7
8591,MAIP1,MAIP1,8
8592,CD300A,CD300A,9
8593,MAJIN,MAJIN,1
8594,MAK,MAK,9
8595,MALL,MALL,1
8596,MALRD1,MALRD1,8
8597,MALSU1,MALSU1,3
8598,MALT1,MALT1,13
8599,MDGA2,MDGA2,11
8600,MAMDC2,MAMDC2,2
8601,MAMDC4,MAMDC4,5
8602,MAML1,MAML1,20
8603,MAML2,MAML2,12
8604,MAML3,MAML3,8
8605,MAMLD1,MAMLD1,8
8606,MAMSTR,MAMSTR,2
8607,LEMD3,LEMD3,55
8608,MAN1A1,MAN1A1,5
8609,MAN1A2,MAN1A2,6
8610,MAN1B1,MAN1B1,7
8611,MAN1C1,MAN1C1,4
8612,MAN2A1,MAN2A1,21
8613,MAN2A2,MAN2A2,9
8614,MAN2B1,MAN2B1,14
8615,MAN2B2,MAN2B2,5
8616,MAN2C1,MAN2C1,10
8617,MANBA,MANBA,4
8618,MANBAL,MANBAL,2
8619,MANEA,MANEA,12
8620,MANEAL,MANEAL,5
8621,MANSC1,MANSC1,4
8622,MANSC4,MANSC4,1
8623,MAOA,MAOA,6
8624,MAOB,MAOB,10
8625,MAP10,MAP10,10
8626,MAP1A,MAP1A,181
8627,MAP1B,MAP1B,255
8628,METAP1D,METAP1D,4
8629,MAP2,MAP2,133
8630,MAP3K15,MAP3K15,12
8631,MAP4,MAP4,181
8632,MAP6,MAP6,9
8633,MAP7,MAP7,48
8634,MAP7D2,MAP7D2,24
8635,MAP7D3,MAP7D3,54
8636,MAP9,MAP9,29
8637,MAPK8IP2,MAPK8IP2,7
8638,MAPKAPK2,MAPKAPK2,21
8639,MAPKAPK3,MAPKAPK3,19
8640,MAPKAPK5,MAPKAPK5,12
8641,MAPKAPK5-AS1,MAPKAPK5-AS1,1
8642,MAPKBP1,MAPKBP1,21
8643,03/01/20,03/01/20,2
8644,03/10/20,03/10/20,9
8645,03/11/20,03/11/20,2
8646,03/02/20,03/02/20,1
8647,03/03/20,03/03/20,9
8648,03/04/20,03/04/20,7
8649,03/05/20,03/05/20,1
8650,03/06/20,03/06/20,9
8651,03/07/20,03/07/20,33
8652,03/08/20,03/08/20,3
8653,03/09/20,03/09/20,1
8654,MARCKS,MARCKS,29
8655,MARCO,MARCO,9
8656,MARK1,MARK1,53
8657,MARK2,MARK2,102
8658,MARK3,MARK3,96
8659,MARK4,MARK4,34
8660,MARS,MARS,17
8661,MARS2,MARS2,8
8662,MARVELD1,MARVELD1,4
8663,MARVELD2,MARVELD2,27
8664,MARVELD3,MARVELD3,16
8665,MAS1,MAS1,2
8666,ANKHD1-EIF4EBP3,ANKHD1-EIF4EBP3,61
8667,MASP1,MASP1,6
8668,MASP2,MASP2,9
8669,SERPINB5,SERPINB5,15
8670,MAST1,MAST1,38
8671,MAST2,MAST2,94
8672,MAST3,MAST3,63
8673,MAST4,MAST4,100
8674,MASTL,MASTL,63
8675,MAT1A,MAT1A,3
8676,MAT2A,MAT2A,10
8677,MAT2B,MAT2B,10
8678,MATN1,MATN1,2
8679,MATN2,MATN2,9
8680,MATN3,MATN3,11
8681,MATN4,MATN4,5
8682,MATR3,MATR3,99
8683,MAU2,MAU2,5
8684,MAVS,MAVS,40
8685,MAX,MAX,23
8686,MAZ,MAZ,15
8687,MB,MB,8
8688,MB21D2,MB21D2,12
8689,MBD1,MBD1,25
8690,MBD2,MBD2,9
8691,MBD3,MBD3,18
8692,MBD3L1,MBD3L1,3
8693,MBD4,MBD4,18
8694,MBD5,MBD5,14
8695,MBD6,MBD6,7
8696,MBIP,MBIP,6
8697,MBL2,MBL2,2
8698,MBLAC1,MBLAC1,4
8699,MBLAC2,MBLAC2,3
8700,PCGF6,PCGF6,10
8701,MBNL1,MBNL1,8
8702,MBNL2,MBNL2,4
8703,MBOAT1,MBOAT1,5
8704,MBOAT2,MBOAT2,8
8705,LPCAT3,LPCAT3,4
8706,MBP,MBP,31
8707,MBTD1,MBTD1,6
8708,MBTPS1,MBTPS1,7
8709,MBTPS2,MBTPS2,10
8710,MC1R,MC1R,5
8711,MC2R,MC2R,3
8712,MC4R,MC4R,9
8713,MC5R,MC5R,3
8714,MILR1,MILR1,9
8715,MCAM,MCAM,9
8716,SLC25A51,SLC25A51,5
8717,SLC25A52,SLC25A52,3
8718,MCAT,MCAT,1
8719,MCC,MCC,28
8720,MCCC1,MCCC1,21
8721,MCCC2,MCCC2,9
8722,AFF4,AFF4,102
8723,MCEMP1,MCEMP1,5
8724,MCF2.00,MCF2.00,10
8725,MCF2L2,MCF2L2,10
8726,MCFD2,MCFD2,5
8727,MCIDAS,MCIDAS,4
8728,MCL1,MCL1,14
8729,MCM10,MCM10,42
8730,MCM2,MCM2,40
8731,MCM3,MCM3,48
8732,MCM4,MCM4,47
8733,MCM5,MCM5,24
8734,MCM6,MCM6,32
8735,MCM7,MCM7,28
8736,MCM8,MCM8,13
8737,MCM9,MCM9,25
8738,MCMBP,MCMBP,17
8739,MCMDC2,MCMDC2,9
8740,MCOLN2,MCOLN2,3
8741,MCOLN3,MCOLN3,3
8742,MCPH1,MCPH1,31
8743,ZC3H12A,ZC3H12A,16
8744,NR3C2,NR3C2,32
8745,MCRS1,MCRS1,17
8746,SLC16A1,SLC16A1,14
8747,MCTP1,MCTP1,9
8748,MCTP2,MCTP2,21
8749,MCTS1,MCTS1,3
8750,MCU,MCU,10
8751,MCUR1,MCUR1,4
8752,IFIH1,IFIH1,12
8753,MDC1.00,MDC1.00,186
8754,MDFI,MDFI,3
8755,MDFIC,MDFIC,10
8756,MDGA1,MDGA1,7
8757,MDH1,MDH1,22
8758,MDH1B,MDH1B,2
8759,MDH2,MDH2,30
8760,MDM1,MDM1,24
8761,MDM2,MDM2,52
8762,MDM4,MDM4,14
8763,MDP1,MDP1,5
8764,TXLNB,TXLNB,9
8765,TRMT11,TRMT11,7
8766,ME1,ME1,9
8767,ME2,ME2,10
8768,ME3,ME3,14
8769,MEA1,MEA1,6
8770,MEAF6,MEAF6,9
8771,MECP2,MECP2,35
8772,MECR,MECR,3
8773,MED1,MED1,119
8774,MED10,MED10,1
8775,MED11,MED11,1
8776,MED12,MED12,17
8777,MED12L,MED12L,20
8778,MED16,MED16,13
8779,MED17,MED17,13
8780,MED18,MED18,1
8781,MED19,MED19,8
8782,MED21,MED21,2
8783,MED23,MED23,5
8784,MED25,MED25,4
8785,MED26,MED26,31
8786,MED27,MED27,11
8787,MED28,MED28,1
8788,MED30,MED30,2
8789,MED31,MED31,3
8790,MED4,MED4,2
8791,MED6,MED6,4
8792,MED7,MED7,2
8793,MED8,MED8,3
8794,MED9,MED9,7
8795,MEDAG,MEDAG,5
8796,MEF2A,MEF2A,29
8797,MEF2B,MEF2B,6
8798,BORCS8,BORCS8,4
8799,MEF2C,MEF2C,24
8800,MEF2D,MEF2D,23
8801,MEGF10,MEGF10,19
8802,MEGF11,MEGF11,3
8803,MEGF6,MEGF6,3
8804,MEGF8,MEGF8,13
8805,MEGF9,MEGF9,4
8806,MEI1,MEI1,9
8807,MEIG1,MEIG1,1
8808,MEIOB,MEIOB,2
8809,MEIOC,MEIOC,9
8810,MEIS1,MEIS1,3
8811,MEIS2,MEIS2,1
8812,MEIS3,MEIS3,3
8813,MEIS3P2,MEIS3P2,1
8814,MAP2K1,MAP2K1,17
8815,MAP2K2,MAP2K2,18
8816,MAP2K5,MAP2K5,9
8817,MAP3K1,MAP3K1,47
8818,MAP3K2,MAP3K2,35
8819,MAP3K3,MAP3K3,39
8820,MAP3K4,MAP3K4,44
8821,MAP3K6,MAP3K6,14
8822,CISD3,CISD3,1
8823,OPN4,OPN4,6
8824,MELK,MELK,48
8825,MMEL1,MMEL1,7
8826,MEMO1,MEMO1,10
8827,MEN1,MEN1,12
8828,ENAH,ENAH,47
8829,MEOX1,MEOX1,3
8830,MEOX2,MEOX2,4
8831,MEP1A,MEP1A,8
8832,MEP1B,MEP1B,9
8833,MEPE,MEPE,12
8834,MERTK,MERTK,13
8835,NF2,NF2,11
8836,TLNRD1,TLNRD1,3
8837,MESD,MESD,6
8838,MESP1,MESP1,2
8839,MESP2,MESP2,2
8840,MEST,MEST,1
8841,MET,MET,47
8842,METAP1,METAP1,5
8843,METAP2,METAP2,13
8844,METRNL,METRNL,3
8845,METTL17,METTL17,5
8846,METTL15,METTL15,3
8847,METTL15P1,METTL15P1,2
8848,METTL1,METTL1,6
8849,EEF1AKMT2,EEF1AKMT2,8
8850,NTMT1,NTMT1,3
8851,METTL11B,METTL11B,4
8852,METTL13,EEF1AKNMT,14
8853,METTL14,METTL14,7
8854,METTL16,METTL16,18
8855,METTL18,METTL18,8
8856,ETFBKMT,ETFBKMT,3
8857,METTL21C,METTL21C,4
8858,VCPKMT,VCPKMT,2
8859,METTL22,METTL22,3
8860,METTL23,METTL23,4
8861,METTL25,METTL25,9
8862,METTL26,METTL26,2
8863,METTL2A,METTL2A,4
8864,METTL2B,METTL2B,6
8865,METTL3,METTL3,17
8866,METTL4,METTL4,9
