,Genes,Norm_Symbol,Phosphosite_hu_no
2990,CMTM8,CMTM8,9
2991,XIRP1,XIRP1,31
2992,XIRP2,XIRP2,48
2993,CMYA5,CMYA5,52
2994,NCAPD2,NCAPD2,43
2995,CNBD1,CNBD1,7
2996,CNBD2,CNBD2,8
2997,CNDP1,CNDP1,5
2998,CNDP2,CNDP2,11
2999,CNGA1,CNGA1,7
3000,CNGA2,CNGA2,7
3001,CNGA3,CNGA3,3
3002,CNGA4,CNGA4,4
3003,CNGB1,CNGB1,9
3004,CNGB3,CNGB3,12
3005,CNKSR1,CNKSR1,16
3006,CNK3/IPCEF1,CNKSR3,2
3007,CNKSR2,CNKSR2,20
3008,CNKSR3,CNKSR3,18
3009,CNNM1,CNNM1,8
3010,CNNM2,CNNM2,12
3011,CNNM3,CNNM3,24
3012,CNNM4,CNNM4,23
3013,BLOC1S4,BLOC1S4,8
3014,CNOT10,CNOT10,5
3015,CNOT11,CNOT11,9
3016,CNOT4,CNOT4,27
3017,CNOT6,CNOT6,9
3018,CNOT6L,CNOT6L,9
3019,CNOT7,CNOT7,4
3020,CNOT8,CNOT8,1
3021,CNP,CNP,18
3022,CNPY4,CNPY4,4
3023,CNR1,CNR1,10
3024,CNR2,CNR2,11
3025,CNST,CNST,6
3026,CNTD2,CNTD2,3
3027,CNTLN,CNTLN,34
3028,CNTN1,CNTN1,8
3029,CNTN2,CNTN2,10
3030,CNTN3,CNTN3,3
3031,CNTN4,CNTN4,10
3032,CNTN5,CNTN5,15
3033,CNTN6,CNTN6,14
3034,CNTNAP1,CNTNAP1,9
3035,CNTNAP2,CNTNAP2,14
3036,CNTNAP3,CNTNAP3,4
3037,CNTNAP3B,CNTNAP3B,4
3038,CNTNAP4,CNTNAP4,8
3039,CNTNAP5,CNTNAP5,8
3040,COL3A1,COL3A1,6
3041,COA5,COA5,2
3042,COA6,COA6,3
3043,COA7,COA7,5
3044,COBLL1,COBLL1,78
3045,NELFB,NELFB,13
3046,COCH,COCH,6
