Genes,PhosNo,Norm_Symbol
FBLL1,2,FBLL1
EPOP,11,EPOP
FAM47DP,1,FAM47DP
SMCHD1,27,SMCHD1
MANSC4,2,MANSC4
HMX3,6,HMX3
ANKDD1B,4,ANKDD1B
TRIM64B,1,TRIM64B
ARHGAP42,30,ARHGAP42
POTEM,2,POTEM
CCDC154,3,CCDC154
NCF1B,11,NCF1B
CCDC69,1,CCDC69
GOLGA6L10,1,GOLGA6L10
CBY3,2,CBY3
RRN3P2,3,RRN3P2
PRSS29P,1,PRSS29P
UNC119B,3,UNC119B
FAM90A20P,5,FAM90A20P
LRRC10B,1,LRRC10B
LINC01549,1,LINC01549
WTIP,9,WTIP
SPDYE5,1,SPDYE5
NKX6-3,2,NKX6-3
METTL15,2,METTL15
SAGE2P,1,SAGE2P
PRR19,3,PRR19
SOWAHD,8,SOWAHD
ARGFX,3,ARGFX
C11orf86,2,C11orf86
LRRC72,3,LRRC72
C19orf67,2,C19orf67
ZSCAN5B,3,ZSCAN5B
FAM90A8P,5,FAM90A8P
UNCX,6,UNCX
NPIPB13,10,NPIPB13
LRRC3C,1,LRRC3C
SLC9B1P1,2,SLC9B1P1
RIMBP3C,6,RIMBP3C
TRIM75P,1,TRIM75P
ACOD1,1,ACOD1
ZNF233,5,ZNF233
ASB14,2,ASB14
ZNF98,5,ZNF98
RASSF10,5,RASSF10
PCNX2,20,PCNX2
FAM90A7P,6,FAM90A7P
SH2D7,4,SH2D7
CCDC85C,17,CCDC85C
SAC3D1,4,SAC3D1
RTL1,5,RTL1
RPL37AP8,2,RPL37AP8
TMEM200C,3,TMEM200C
PCP4L1,2,PCP4L1
SDR42E2,2,SDR42E2
CGB1,6,CGB1
RGPD3,102,RGPD3
SPDYE3,1,SPDYE3
SHISA7,7,SHISA7
AQP7P3,1,AQP7P3
C3orf70,6,C3orf70
ELOA3D,1,ELOA3D
C2CD4B,2,C2CD4B
RFPL4A,3,RFPL4A
VSTM2B,1,VSTM2B
SPDYE4,1,SPDYE4
OR2AG2,4,OR2AG2
LRRC37A2,1,LRRC37A2
ZFP92,3,ZFP92
LRRC30,1,LRRC30
CCT8L1P,3,CCT8L1P
LRRC53,13,LRRC53
OR6C76,1,OR6C76
TRPC5OS,1,TRPC5OS
IFITM10,2,IFITM10
GOLGA8J,7,GOLGA8J
FAM196B,6,FAM196B
LRRC37A,2,LRRC37A
EIF4E1B,3,EIF4E1B
ANXA2P2,47,ANXA2P2
SNTN,1,SNTN
OR4C45,1,OR4C45
COL6A6,16,COL6A6
ZNF729,43,ZNF729
GOLGA8CP,7,GOLGA8CP
C2orf81,1,C2orf81
SRRM3,47,SRRM3
DRGX,1,DRGX
MARCH11,9,MARCH11
ZNF726,11,ZNF726
FAM90A27P,3,FAM90A27P
FAM90A9P,6,FAM90A9P
NUTM2B,5,NUTM2B
RIMBP3B,6,RIMBP3B
TTLL13P,5,TTLL13P
CCDC169,2,CCDC169
C16orf96,6,C16orf96
SPDYE16,1,SPDYE16
USP27X,2,USP27X
ZNF716,1,ZNF716
ZAR1L,1,ZAR1L
TTLL8,2,TTLL8
NCBP2L,3,NCBP2L
KNCN,2,KNCN
LRRIQ3,3,LRRIQ3
BTBD11,8,BTBD11
ANKRD36,21,ANKRD36
GOLGA8A,13,GOLGA8A
ANKRD30BL,2,ANKRD30BL
C4orf47,3,C4orf47
ZSWIM8,42,ZSWIM8
MYH7B,18,MYH7B
ARHGAP32,90,ARHGAP32
DISP2,24,DISP2
TBKBP1,19,TBKBP1
SRRM4,53,SRRM4
SOBP,19,SOBP
POM121C,73,POM121C
ZNF839,12,ZNF839
WASHC1,10,WASHC1
A2ML1,4,A2ML1
CD300LB,2,CD300LB
C15orf62,8,C15orf62
CLCA1,6,CLCA1
COLCA2,2,COLCA2
EFCAB7,8,EFCAB7
SFI1,7,SFI1
ZNF785,7,ZNF785
ERI2,5,ERI2
DDX11L8,10,DDX11L8
PP2D1,2,PP2D1
CYSRT1,5,CYSRT1
PMS2P5,1,PMS2P5
ZNF850,16,ZNF850
NEURL1B,3,NEURL1B
C17orf51,2,C17orf51
GOLGA8B,11,GOLGA8B
NPIPB5,10,NPIPB5
RHPN2P1,14,RHPN2P1
ZNF891,15,ZNF891
ZBBX,9,ZBBX
FAM166B,6,FAM166B
CEACAM18,2,CEACAM18
PRSS47,4,PRSS47
GNAT3,5,GNAT3
FOXI3,1,FOXI3
HMSD,3,HMSD
NOTO,2,NOTO
CEBPZOS,1,CEBPZOS
ZNF724,9,ZNF724
C12orf71,1,C12orf71
SMTNL1,5,SMTNL1
C17orf100,5,C17orf100
PDZK1P1,2,PDZK1P1
USP17L5,4,USP17L5
CSKMT,1,CSKMT
ZNF727,2,ZNF727
KRTAP16-1,1,KRTAP16-1
MPTX1,1,MPTX1
VGLL3,1,VGLL3
HIGD1C,1,HIGD1C
ZNF705F,1,ZNF705F
HIDE1,3,HIDE1
NCF1C,11,NCF1C
FAM171A2,21,FAM171A2
HEPACAM2,3,HEPACAM2
ARHGEF33,7,ARHGEF33
BTNL10,1,BTNL10
PHF20L1,24,PHF20L1
MEI4,1,MEI4
ZNF705E,1,ZNF705E
FAM90A22P,5,FAM90A22P
SNRPGP15,1,SNRPGP15
WASH4P,10,WASH4P
KIAA1324L,7,KIAA1324L
FAM90A12P,5,FAM90A12P
CAPN14,4,CAPN14
FAM90A5P,5,FAM90A5P
