Genes,PhosNo,Norm_Symbol
ANKRD40,5,ANKRD40
SLC9A4,4,SLC9A4
BICRAL,9,BICRAL
ZNF324B,8,ZNF324B
WWC2,28,WWC2
ZNF660,5,ZNF660
SCARA3,1,SCARA3
TRIM68,2,TRIM68
KDM4D,5,KDM4D
DUSP13,1,DUSP13
FCRLB,3,FCRLB
UHRF1BP1,31,UHRF1BP1
SP5,14,SP5
AMMECR1L,4,AMMECR1L
ZNF787,13,ZNF787
ATL3,8,ATL3
CC2D2B,1,CC2D2B
ADAL,1,ADAL
TBC1D3G,2,TBC1D3G
RPL7L1,2,RPL7L1
LGALS9C,3,LGALS9C
PVRIG,4,PVRIG
NXN,2,NXN
HIST2H2BC,8,HIST2H2BC
MCTP2,25,MCTP2
MCTP1,17,MCTP1
FCRL6,1,FCRL6
IQSEC1,44,IQSEC1
HIST2H2BD,8,HIST2H2BD
CDC42BPG,20,CDC42BPG
DMKN,6,DMKN
AWAT2,2,AWAT2
IL31,2,IL31
ZNF470,13,ZNF470
SUMO4,1,SUMO4
GTF2IRD2B,3,GTF2IRD2B
TTLL5,14,TTLL5
VASN,9,VASN
CARMIL2,41,CARMIL2
SFRP4,3,SFRP4
HIST2H2AA3,6,HIST2H2AA3
CIAPIN1,15,CIAPIN1
ZFAND6,16,ZFAND6
FAAH2,4,FAAH2
SMYD5,4,SMYD5
PTRHD1,1,PTRHD1
XAF1,6,XAF1
ITPRIPL1,4,ITPRIPL1
CTRB2,1,CTRB2
OTUD7B,26,OTUD7B
PM20D1,5,PM20D1
LAIR1,5,LAIR1
TMEM225,1,TMEM225
RALGAPA1,53,RALGAPA1
RAET1G,2,RAET1G
ABLIM2,41,ABLIM2
ISM2,3,ISM2
ASTL,3,ASTL
THOC7,5,THOC7
SIGIRR,14,SIGIRR
NADSYN1,5,NADSYN1
ELP2,1,ELP2
LAMTOR1,19,LAMTOR1
GLYAT,2,GLYAT
TWF2,12,TWF2
NCAPH2,27,NCAPH2
C22orf42,2,C22orf42
GRAMD4,12,GRAMD4
DESI1,5,DESI1
FAM109B,7,FAM109B
RTL6,5,RTL6
KIAA0930,28,KIAA0930
WBP2NL,2,WBP2NL
OVOS2,1,OVOS2
JADE1,26,JADE1
TMEM132E,3,TMEM132E
SLFN12L,7,SLFN12L
SNRNP48,7,SNRNP48
OR4F3,1,OR4F3
OR2T2,1,OR2T2
OR4A47,1,OR4A47
SULT1C3,2,SULT1C3
CAPRIN2,8,CAPRIN2
MRM1,1,MRM1
PPP4R3A,34,PPP4R3A
FRMPD2B,1,FRMPD2B
IQCE,20,IQCE
TYW3,4,TYW3
FAM71E1,1,FAM71E1
CENPP,1,CENPP
TBC1D3C,2,TBC1D3C
TCEAL6,7,TCEAL6
CCSAP,10,CCSAP
NAPEPLD,1,NAPEPLD
ZNF770,6,ZNF770
RAB12,6,RAB12
PLEKHA7,73,PLEKHA7
DENND5A,24,DENND5A
ADNP2,7,ADNP2
SDE2,10,SDE2
TTBK2,56,TTBK2
EIF5AL1,5,EIF5AL1
GALNT17,4,GALNT17
GRHL2,14,GRHL2
PTCRA,1,PTCRA
ZNF425,6,ZNF425
ANO7,1,ANO7
STYK1,1,STYK1
RCSD1,42,RCSD1
KLHL10,1,KLHL10
ACAD10,2,ACAD10
LCN12,1,LCN12
LCN10,1,LCN10
LCN8,1,LCN8
PYHIN1,14,PYHIN1
KRT80,26,KRT80
NIPBL,132,NIPBL
SLC25A25,1,SLC25A25
GDF6,1,GDF6
PDE12,23,PDE12
FAM72D,1,FAM72D
B4GALNT3,3,B4GALNT3
LIN54,21,LIN54
PRR5L,8,PRR5L
RGS7BP,4,RGS7BP
FSTL4,1,FSTL4
CAPN13,3,CAPN13
TET2,23,TET2
TENM4,18,TENM4
ZNF280D,27,ZNF280D
NAA16,11,NAA16
MFSD5,4,MFSD5
ALKBH2,3,ALKBH2
ANKRD26P1,1,ANKRD26P1
FAM53A,5,FAM53A
RADX,7,RADX
KIAA1841,3,KIAA1841
MYORG,7,MYORG
PHLDB3,7,PHLDB3
LRRC8E,6,LRRC8E
NANOGP8,2,NANOGP8
ZSCAN25,7,ZSCAN25
SLC18B1,6,SLC18B1
CES5A,2,CES5A
GAGE2A,3,GAGE2A
CGB2,4,CGB2
CYP4F22,1,CYP4F22
HMBOX1,12,HMBOX1
TRNP1,5,TRNP1
MRNIP,5,MRNIP
RHBDD2,2,RHBDD2
CCDC144NL,2,CCDC144NL
GPAT2,4,GPAT2
PWWP2B,16,PWWP2B
SLC25A24,12,SLC25A24
REEP3,13,REEP3
TYW1B,6,TYW1B
RETSAT,3,RETSAT
ACSM5,3,ACSM5
JHY,12,JHY
ZNF746,13,ZNF746
PPP4R4,3,PPP4R4
RINT1,1,RINT1
TMEM214,7,TMEM214
DPY19L2,3,DPY19L2
MFSD12,5,MFSD12
KIAA1211L,31,KIAA1211L
GPR153,1,GPR153
SWSAP1,1,SWSAP1
UFSP1,1,UFSP1
RPL13AP3,2,RPL13AP3
ADAM5,1,ADAM5
HIBCH,7,HIBCH
RWDD4,4,RWDD4
NEPRO,5,NEPRO
PRPF40B,15,PRPF40B
ZNF774,3,ZNF774
ZNF544,8,ZNF544
ARMC6,1,ARMC6
ESRP1,6,ESRP1
EFCAB12,3,EFCAB12
TTI2,2,TTI2
PPP1R2P3,14,PPP1R2P3
ANKRD54,5,ANKRD54
H3F3C,7,H3F3C
SLC30A6,6,SLC30A6
TAPT1,12,TAPT1
KANK3,16,KANK3
JMJD6,8,JMJD6
PPP1R18,41,PPP1R18
FAAP20,2,FAAP20
MZT2B,15,MZT2B
CAVIN1,33,CAVIN1
ZCCHC8,31,ZCCHC8
CDC42EP5,4,CDC42EP5
C8orf74,1,C8orf74
FBXL22,1,FBXL22
RPUSD3,1,RPUSD3
AADACL2,4,AADACL2
MIS18BP1,84,MIS18BP1
MAST2,106,MAST2
DHX57,21,DHX57
ERAP2,5,ERAP2
PLB1,3,PLB1
CDC73,11,CDC73
SLC48A1,1,SLC48A1
PMF1,5,PMF1
GTF2H2C,1,GTF2H2C
FAM117B,61,FAM117B
ZNF343,4,ZNF343
MRPL14,3,MRPL14
SLC27A4,5,SLC27A4
LLGL2,23,LLGL2
ARMCX5,4,ARMCX5
CC2D1A,28,CC2D1A
LETMD1,6,LETMD1
METTL2B,4,METTL2B
MSANTD2,22,MSANTD2
DUS1L,1,DUS1L
C3orf33,1,C3orf33
TAF2,20,TAF2
C8orf82,1,C8orf82
ZNF529,3,ZNF529
WDR93,4,WDR93
MED27,4,MED27
ZFP1,2,ZFP1
XRRA1,2,XRRA1
EDC4,71,EDC4
CEP85,13,CEP85
TMEM53,3,TMEM53
PNCK,1,PNCK
PRMT9,3,PRMT9
PRPF8,43,PRPF8
TTC41P,17,TTC41P
C16orf46,2,C16orf46
NEK5,1,NEK5
DENND1B,18,DENND1B
FBXO42,18,FBXO42
ZNF585A,5,ZNF585A
NBPF10,3,NBPF10
SCYL2,18,SCYL2
TTC27,6,TTC27
PGBD2,7,PGBD2
MTFR2,10,MTFR2
ACSM6,5,ACSM6
PDXDC2P,4,PDXDC2P
NIPAL3,5,NIPAL3
SFXN4,4,SFXN4
PLBD1,7,PLBD1
FAM122C,3,FAM122C
CASC4,11,CASC4
FUT10,3,FUT10
ARHGAP11A,61,ARHGAP11A
CNNM4,19,CNNM4
NFRKB,44,NFRKB
GGT6,2,GGT6
MZT2A,8,MZT2A
FAHD1,4,FAHD1
KLC3,22,KLC3
LMOD2,20,LMOD2
RPL22L1,3,RPL22L1
RNASEK,2,RNASEK
SLC39A4,1,SLC39A4
TMEM71,3,TMEM71
PKN3,22,PKN3
ERICH5,5,ERICH5
ALKBH5,23,ALKBH5
NOTUM,2,NOTUM
FAM171B,26,FAM171B
PDXDC1,36,PDXDC1
ZNF530,5,ZNF530
GALNT18,3,GALNT18
ZNF549,4,ZNF549
TLDC1,9,TLDC1
INTS5,11,INTS5
CCDC62,4,CCDC62
LRRC8B,4,LRRC8B
TMEM154,11,TMEM154
ZNF449,2,ZNF449
CNKSR3,14,CNKSR3
GIMAP6,2,GIMAP6
VWA1,5,VWA1
RSBN1L,15,RSBN1L
ABHD17C,1,ABHD17C
SLC27A1,2,SLC27A1
EMB,2,EMB
RFWD3,16,RFWD3
PGM2L1,8,PGM2L1
FBXL19,12,FBXL19
CTR9,42,CTR9
AAGAB,2,AAGAB
ZNF880,6,ZNF880
FAM199X,9,FAM199X
PRSS54,2,PRSS54
ZCCHC12,2,ZCCHC12
TMEM88,3,TMEM88
TUBA3E,34,TUBA3E
ZNF613,3,ZNF613
TRMT10B,1,TRMT10B
PPIP5K1,25,PPIP5K1
ZNF790,1,ZNF790
PSRC1,29,PSRC1
TTC37,5,TTC37
BORA,33,BORA
C16orf87,7,C16orf87
DCUN1D2,2,DCUN1D2
ULK3,13,ULK3
SHQ1,4,SHQ1
KCTD18,10,KCTD18
DARS2,4,DARS2
LILRA6,1,LILRA6
BHLHB9,3,BHLHB9
TMEM65,3,TMEM65
C11orf88,2,C11orf88
INO80C,5,INO80C
TTC33,6,TTC33
KLHDC10,2,KLHDC10
SYCE2,1,SYCE2
MYO7B,18,MYO7B
CCDC174,6,CCDC174
HAGHL,2,HAGHL
FBXO38,46,FBXO38
KCNIP4,1,KCNIP4
SLC23A3,1,SLC23A3
NCEH1,1,NCEH1
FOXR1,1,FOXR1
FIGNL1,18,FIGNL1
C1orf228,2,C1orf228
PAPD4,12,PAPD4
TRAT1,9,TRAT1
SPSB3,3,SPSB3
FBXO46,18,FBXO46
TRIM65,1,TRIM65
POMZP3,11,POMZP3
RHBDF2,39,RHBDF2
ELMSAN1,49,ELMSAN1
BRAT1,13,BRAT1
LRFN4,9,LRFN4
WDR59,18,WDR59
DCLRE1A,7,DCLRE1A
FOXR2,1,FOXR2
ZC3H14,60,ZC3H14
CNST,9,CNST
CCDC137,4,CCDC137
ZNF773,3,ZNF773
TXNDC11,9,TXNDC11
LARP1,105,LARP1
DHRS4L2,1,DHRS4L2
DOK6,3,DOK6
ATAD2,70,ATAD2
TMED8,10,TMED8
SLC30A9,2,SLC30A9
GPR179,12,GPR179
CPLX2,1,CPLX2
SLC2A7,1,SLC2A7
TRAF7,22,TRAF7
SLC25A47,4,SLC25A47
LVRN,5,LVRN
CRIP3,3,CRIP3
SPAG17,5,SPAG17
APOA5,3,APOA5
CD200R1L,3,CD200R1L
CORO6,6,CORO6
FIGLA,1,FIGLA
USP17L6P,3,USP17L6P
ADGRD1,6,ADGRD1
BLOC1S3,11,BLOC1S3
ZBED9,3,ZBED9
RICTOR,79,RICTOR
USP17L2,1,USP17L2
WDR74,7,WDR74
BRWD3,33,BRWD3
AGTRAP,8,AGTRAP
POTEH,2,POTEH
POTEG,3,POTEG
SHC4,4,SHC4
POTEE,28,POTEE
POTEA,1,POTEA
TSSK4,1,TSSK4
FAM111B,7,FAM111B
SAMD1,20,SAMD1
SMARCD3,4,SMARCD3
SARM1,8,SARM1
RASL11A,4,RASL11A
PLPPR3,9,PLPPR3
NHS,67,NHS
KLHL17,1,KLHL17
CASC1,1,CASC1
CCDC171,4,CCDC171
KLHL24,4,KLHL24
PADI6,3,PADI6
OPN5,2,OPN5
ZNF322,6,ZNF322
SLC4A10,14,SLC4A10
MTHFD1L,15,MTHFD1L
ANKRD12,63,ANKRD12
ANKRD11,87,ANKRD11
AFTPH,48,AFTPH
FIP1L1,44,FIP1L1
PLET1,4,PLET1
CRTC3,33,CRTC3
CRTC1,19,CRTC1
SASS6,15,SASS6
CSPG4,7,CSPG4
KCNT2,16,KCNT2
MOXD1,4,MOXD1
CYP20A1,2,CYP20A1
REG3G,3,REG3G
IGFL1,1,IGFL1
KDELC1,1,KDELC1
TMEM205,2,TMEM205
IL27RA,1,IL27RA
PRSS55,1,PRSS55
C16orf54,5,C16orf54
LRSAM1,12,LRSAM1
SCIMP,1,SCIMP
NXPE4,8,NXPE4
FAM180A,4,FAM180A
FAM198B,4,FAM198B
TEX261,1,TEX261
PARM1,1,PARM1
SHISA2,9,SHISA2
TMCO3,5,TMCO3
SUSD1,3,SUSD1
KIRREL2,6,KIRREL2
LCTL,9,LCTL
UGT2A3,2,UGT2A3
LYPD4,1,LYPD4
DHRS11,1,DHRS11
LCLAT1,9,LCLAT1
ENPP6,8,ENPP6
PET117,1,PET117
GLB1L,2,GLB1L
C6orf89,1,C6orf89
MPZL3,2,MPZL3
ENPP7,5,ENPP7
TMEM207,1,TMEM207
HHIPL2,8,HHIPL2
ARSK,2,ARSK
ABRAXAS1,11,ABRAXAS1
CWC27,9,CWC27
DHRS13,5,DHRS13
LAYN,8,LAYN
VSTM1,2,VSTM1
SNORC,1,SNORC
BTNL8,2,BTNL8
ALKAL2,1,ALKAL2
C17orf99,1,C17orf99
METTL7B,1,METTL7B
DRAM2,2,DRAM2
XKR5,5,XKR5
PLXDC2,2,PLXDC2
C6orf15,2,C6orf15
IGFL3,1,IGFL3
CXCL17,2,CXCL17
LYPD2,3,LYPD2
CLEC4G,1,CLEC4G
MAMDC4,8,MAMDC4
SEZ6L2,2,SEZ6L2
SLC49A3,2,SLC49A3
BTNL3,1,BTNL3
TMEM108,8,TMEM108
CLEC18B,4,CLEC18B
KIAA1324,6,KIAA1324
CD300LG,1,CD300LG
BTNL9,1,BTNL9
CRELD2,5,CRELD2
CCBE1,4,CCBE1
PAMR1,2,PAMR1
VIT,4,VIT
NPNT,5,NPNT
LRRN1,3,LRRN1
IL20RB,2,IL20RB
LRIG3,7,LRIG3
WDR82,5,WDR82
TMEM14EP,1,TMEM14EP
ABHD15,6,ABHD15
GSG1L,1,GSG1L
TMEM92,1,TMEM92
IZUMO2,1,IZUMO2
APOOL,7,APOOL
ITIH6,6,ITIH6
BAIAP2L2,44,BAIAP2L2
TMC5,21,TMC5
CD300LD,3,CD300LD
UNC5D,2,UNC5D
LRRC31,2,LRRC31
CEACAM20,2,CEACAM20
ADAMTSL4,5,ADAMTSL4
LINGO4,3,LINGO4
DLEU7,1,DLEU7
FAT4,49,FAT4
CYP26C1,2,CYP26C1
DCHS2,10,DCHS2
DPP8,3,DPP8
ZNF562,2,ZNF562
KSR2,19,KSR2
WASH2P,10,WASH2P
ATF7IP,47,ATF7IP
RANBP10,18,RANBP10
TFAP2E,5,TFAP2E
NHLRC1,2,NHLRC1
CYP2R1,1,CYP2R1
PACS1,41,PACS1
BCOR,59,BCOR
GDPD4,3,GDPD4
MUC6,13,MUC6
RAD9B,1,RAD9B
MPRIP,81,MPRIP
RAB11FIP1,84,RAB11FIP1
IGSF10,49,IGSF10
ZYG11A,2,ZYG11A
NSMF,15,NSMF
FBXW12,3,FBXW12
RBMS3,4,RBMS3
SCGB1D4,2,SCGB1D4
RPTN,1,RPTN
TPTE2,1,TPTE2
NAPRT,5,NAPRT
SLC30A10,4,SLC30A10
DSTYK,10,DSTYK
LBX2,2,LBX2
SYT10,3,SYT10
LIPI,1,LIPI
DNMBP,62,DNMBP
HACD2,2,HACD2
B3GLCT,2,B3GLCT
DNAJC14,9,DNAJC14
GIGYF2,50,GIGYF2
SLC36A4,2,SLC36A4
CD109,13,CD109
THADA,12,THADA
HSDL2,2,HSDL2
KYAT3,3,KYAT3
TMEM184A,1,TMEM184A
SIGLEC15,2,SIGLEC15
SPNS3,1,SPNS3
CERS6,5,CERS6
SLC39A5,3,SLC39A5
PPP1R21,10,PPP1R21
GLDN,1,GLDN
SCARA5,2,SCARA5
IL34,1,IL34
CYHR1,1,CYHR1
ADAMTSL5,2,ADAMTSL5
PDZRN4,27,PDZRN4
CCNI2,1,CCNI2
THSD4,11,THSD4
AATK,5,AATK
LDHAL6A,7,LDHAL6A
TMPRSS11A,2,TMPRSS11A
ZNF852,8,ZNF852
STAC2,20,STAC2
KDM7A,12,KDM7A
DTHD1,2,DTHD1
C3P1,2,C3P1
TRIM72,6,TRIM72
PPP4R3C,5,PPP4R3C
LEKR1,5,LEKR1
ZNF730,4,ZNF730
KIF6,2,KIF6
ZNF782,5,ZNF782
EML6,22,EML6
SPOCD1,2,SPOCD1
ZNF517,4,ZNF517
RNF19B,7,RNF19B
SYNE3,1,SYNE3
MAMSTR,3,MAMSTR
LINC00322,7,LINC00322
MEX3B,13,MEX3B
ZNF813,12,ZNF813
ZNF66,11,ZNF66
MAP3K15,16,MAP3K15
LIN28B,12,LIN28B
AEBP2,26,AEBP2
ZNF841,12,ZNF841
MACC1,15,MACC1
BNC2,22,BNC2
ETV3L,1,ETV3L
UNC5A,3,UNC5A
DEF8,3,DEF8
ZNF574,22,ZNF574
ZFP2,6,ZFP2
GBP6,2,GBP6
ZNF705A,1,ZNF705A
CCDC81,3,CCDC81
ZNF836,8,ZNF836
RNF111,6,RNF111
FRRS1,1,FRRS1
NFXL1,24,NFXL1
ZNF704,14,ZNF704
MBOAT1,2,MBOAT1
ATG14,9,ATG14
RUFY4,1,RUFY4
ZNF620,8,ZNF620
ZNF600,11,ZNF600
KRBA2,1,KRBA2
ZNF497,1,ZNF497
GCNT7,2,GCNT7
NBEAL2,45,NBEAL2
TIFAB,1,TIFAB
FGD5,45,FGD5
GDPGP1,1,GDPGP1
RBM44,4,RBM44
PQLC2,1,PQLC2
BICDL1,6,BICDL1
CCDC141,7,CCDC141
DGAT2L6,3,DGAT2L6
DPY19L3,2,DPY19L3
FOXI2,2,FOXI2
SLCO4C1,4,SLCO4C1
SPATA31D1,8,SPATA31D1
WDR87,24,WDR87
CFAP77,2,CFAP77
ZNF788,2,ZNF788
LIAT1,2,LIAT1
GADL1,4,GADL1
DNAH12,13,DNAH12
PLEKHG7,5,PLEKHG7
ZNF493,12,ZNF493
C17orf107,1,C17orf107
C4orf50,1,C4orf50
RNF207,4,RNF207
CATSPERG,4,CATSPERG
OTOG,18,OTOG
C15orf39,27,C15orf39
ARHGAP36,4,ARHGAP36
CCDC73,3,CCDC73
QSOX2,11,QSOX2
MMS22L,3,MMS22L
LRRC9,13,LRRC9
DCDC5,5,DCDC5
SRCAP,95,SRCAP
CCDC129,3,CCDC129
FAM83H,97,FAM83H
LINC00696,2,LINC00696
RBPMS2,1,RBPMS2
RINL,1,RINL
RIPOR1,45,RIPOR1
ZNF662,3,ZNF662
NBEAL1,29,NBEAL1
COLCA1,2,COLCA1
PEAK3,2,PEAK3
WDFY4,13,WDFY4
GK5,4,GK5
C1orf229,2,C1orf229
LINC00299,2,LINC00299
ZBTB49,7,ZBTB49
RBM43,2,RBM43
RNF165,1,RNF165
FAM196A,1,FAM196A
CAPN12,3,CAPN12
C1orf122,1,C1orf122
SHISA6,8,SHISA6
SLC16A12,2,SLC16A12
ZNF621,2,ZNF621
MFSD6,15,MFSD6
ZCCHC23,2,ZCCHC23
CYP2G1P,2,CYP2G1P
PPP1R3F,9,PPP1R3F
ARHGEF18,38,ARHGEF18
TSHZ1,18,TSHZ1
TBC1D9,14,TBC1D9
UBR3,7,UBR3
FAM43B,3,FAM43B
BARGIN,14,BARGIN
ZNF826P,1,ZNF826P
SLC25A48,3,SLC25A48
TTLL7,14,TTLL7
TRIM67,3,TRIM67
ZNF833P,2,ZNF833P
RFLNA,3,RFLNA
ANKRD13D,5,ANKRD13D
RASSF6,4,RASSF6
CDHR3,1,CDHR3
CFAP47,12,CFAP47
FAM92B,4,FAM92B
EP400P1,24,EP400P1
TPGS1,1,TPGS1
MSANTD1,1,MSANTD1
KIAA1211,40,KIAA1211
CLEC20A,1,CLEC20A
KIAA0408,3,KIAA0408
CFAP65,3,CFAP65
UBN2,42,UBN2
BEND4,3,BEND4
FAM205A,2,FAM205A
CEP128,35,CEP128
MROH5,18,MROH5
SPATA31D4,6,SPATA31D4
SPATA31E1,7,SPATA31E1
LINC00336,3,LINC00336
TPRG1,2,TPRG1
C3orf62,2,C3orf62
PIK3AP1,24,PIK3AP1
TMEM26,11,TMEM26
ARHGAP27,19,ARHGAP27
CCDC121,3,CCDC121
CCDC149,5,CCDC149
NKAPD1,22,NKAPD1
FRMD7,4,FRMD7
CCDC9B,17,CCDC9B
DENND5B,27,DENND5B
FOXL2NB,1,FOXL2NB
ACOT7L,5,ACOT7L
TOGARAM2,10,TOGARAM2
PNPLA7,8,PNPLA7
RFX8,2,RFX8
C22orf34,5,C22orf34
LINC00173,1,LINC00173
FAM47E,5,FAM47E
LANCL3,1,LANCL3
FGD6,45,FGD6
C9orf139,5,C9orf139
SH2D5,8,SH2D5
STOX1,10,STOX1
PHLPP2,22,PHLPP2
GOLT1A,1,GOLT1A
GPRIN3,32,GPRIN3
ESPNL,5,ESPNL
TMEM179,1,TMEM179
KIAA1549L,31,KIAA1549L
TOM1L2,15,TOM1L2
SEM1,2,SEM1
HFE2,6,HFE2
FAM183BP,1,FAM183BP
TTLL10,2,TTLL10
C3orf67,2,C3orf67
IL17REL,1,IL17REL
NCCRP1,11,NCCRP1
PAQR9,1,PAQR9
ASB18,1,ASB18
PTCHD4,2,PTCHD4
C16orf86,6,C16orf86
SYDE1,31,SYDE1
MICALCL,10,MICALCL
PAXIP1,11,PAXIP1
BBS12,3,BBS12
ANKS3,26,ANKS3
KCTD8,4,KCTD8
PLEKHM3,15,PLEKHM3
NEK10,5,NEK10
STXBP4,14,STXBP4
KCP,3,KCP
RHEX,2,RHEX
CYP4V2,3,CYP4V2
MBOAT2,5,MBOAT2
TMTC3,1,TMTC3
XIRP1,30,XIRP1
VPS13C,49,VPS13C
ACAD11,8,ACAD11
USP34,49,USP34
USP30,5,USP30
USP31,68,USP31
RAPH1,83,RAPH1
USP53,8,USP53
USP51,5,USP51
USP54,62,USP54
USP45,10,USP45
USP43,32,USP43
SLC25A26,3,SLC25A26
MOB3C,2,MOB3C
UNC13D,4,UNC13D
CHSY3,3,CHSY3
CREB3L2,20,CREB3L2
IKBIP,2,IKBIP
ZNF365,3,ZNF365
PREX2,3,PREX2
HTR3D,1,HTR3D
FRA10AC1,16,FRA10AC1
C10orf71,25,C10orf71
CYS1,1,CYS1
KCTD1,8,KCTD1
HIST2H3A,12,HIST2H3A
CENPU,39,CENPU
MED13L,48,MED13L
ILDR2,11,ILDR2
LARP4,33,LARP4
SMIM5,1,SMIM5
TMUB2,6,TMUB2
MED25,8,MED25
TUBA1A,42,TUBA1A
H2AFV,3,H2AFV
RPS27L,6,RPS27L
ZNF767P,4,ZNF767P
CBLL1,8,CBLL1
FBN3,2,FBN3
MIR17HG,1,MIR17HG
INTS8,11,INTS8
PGAP1,1,PGAP1
ANO5,6,ANO5
GAREM2,8,GAREM2
H1FNT,6,H1FNT
MTSS1L,46,MTSS1L
BRINP3,4,BRINP3
NOL8,72,NOL8
PDZD4,17,PDZD4
SSH2,37,SSH2
B4GALNT4,4,B4GALNT4
ZNF534,7,ZNF534
ASXL2,68,ASXL2
ADAMTS13,4,ADAMTS13
CCDC80,6,CCDC80
ERN2.00,1,ERN2.00
CEP68,24,CEP68
HECW1,15,HECW1
KNDC1,14,KNDC1
BTN2A1,3,BTN2A1
SUPT6H,44,SUPT6H
SND1,37,SND1
MARK2,118,MARK2
COX15,1,COX15
DDX46,48,DDX46
RUFY3,18,RUFY3
SV2A,13,SV2A
TRIL,2,TRIL
ERICH6,1,ERICH6
TRMT10C,18,TRMT10C
DPPA4,5,DPPA4
SV2B,8,SV2B
BZW1,17,BZW1
CHST9,1,CHST9
CYB5R4,1,CYB5R4
MON1B,10,MON1B
LRRC8D,7,LRRC8D
ASRGL1,3,ASRGL1
KCTD9,4,KCTD9
DHX30,16,DHX30
EIF3M,14,EIF3M
MEPCE,38,MEPCE
TEDC2,5,TEDC2
ZNF765,5,ZNF765
CENPQ,11,CENPQ
ARMCX2,14,ARMCX2
CDC37L1,5,CDC37L1
ZNF771,12,ZNF771
PARS2,2,PARS2
MIGA2,18,MIGA2
RSRC2,38,RSRC2
BEND5,4,BEND5
ARMCX6,3,ARMCX6
RRAGA,1,RRAGA
CYFIP1,21,CYFIP1
MCM10,23,MCM10
DOK3,18,DOK3
NDUFAF7,1,NDUFAF7
FAM214B,7,FAM214B
FA2H,2,FA2H
GDPD3,3,GDPD3
COPS6,4,COPS6
LPCAT2,7,LPCAT2
ENOSF1,6,ENOSF1
DET1,1,DET1
MAEA,5,MAEA
G2E3,9,G2E3
EPM2AIP1,2,EPM2AIP1
HIST3H2A,7,HIST3H2A
DHX32,13,DHX32
TAOK1,36,TAOK1
RAB11FIP2,25,RAB11FIP2
VASH1,2,VASH1
SYT13,1,SYT13
SH3BP5L,16,SH3BP5L
FASTKD5,2,FASTKD5
DPH6,1,DPH6
ZNF627,5,ZNF627
LINGO2,8,LINGO2
EEPD1,31,EEPD1
MOB1B,6,MOB1B
KDM3B,61,KDM3B
SLC26A9,1,SLC26A9
ARC,2,ARC
RASGRP2,17,RASGRP2
CXXC5,10,CXXC5
CHST15,5,CHST15
RRM2B,6,RRM2B
HS2ST1,2,HS2ST1
CHST3,5,CHST3
SHF,1,SHF
OTOP1,5,OTOP1
STRADA,14,STRADA
MICAL3,122,MICAL3
NLRP9,3,NLRP9
NLRC3,5,NLRC3
PTF1A,1,PTF1A
OTOP3,3,OTOP3
KRT74,11,KRT74
DYM,4,DYM
SSX9,1,SSX9
SSX7,1,SSX7
SLC29A4,7,SLC29A4
TCF23,1,TCF23
SCX,3,SCX
STRC,5,STRC
PHF5A,4,PHF5A
GSTA5,2,GSTA5
ZNF367,6,ZNF367
AAED1,1,AAED1
OTOA,8,OTOA
TAS1R1,3,TAS1R1
CATSPER4,4,CATSPER4
SLC16A14,4,SLC16A14
SLC16A9,3,SLC16A9
PRSS48,2,PRSS48
OVCH1,4,OVCH1
TMPRSS7,3,TMPRSS7
USP17L1,3,USP17L1
PLPPR4,20,PLPPR4
APTX,8,APTX
ZNF720,1,ZNF720
H2BFWT,6,H2BFWT
ERMP1,5,ERMP1
GPRIN1,79,GPRIN1
LRRC70,2,LRRC70
TRMT1L,21,TRMT1L
C16orf82,1,C16orf82
ZC3HAV1,74,ZC3HAV1
MRPL21,3,MRPL21
PID1,9,PID1
PAGE2,3,PAGE2
NRK,22,NRK
GVINP1,6,GVINP1
TICRR,123,TICRR
EFL1,10,EFL1
MAMDC2,3,MAMDC2
FAM122B,40,FAM122B
SETX,56,SETX
ZNF551,12,ZNF551
HDX,1,HDX
DPY19L4,1,DPY19L4
TRAPPC11,5,TRAPPC11
ZNF550,5,ZNF550
NEGR1,1,NEGR1
KANSL1,56,KANSL1
NUP54,5,NUP54
ATG9A,25,ATG9A
LYSMD3,5,LYSMD3
DGLUCY,3,DGLUCY
TIPARP,1,TIPARP
CCDC186,19,CCDC186
ARMC9,6,ARMC9
GPR155,11,GPR155
PRICKLE2,24,PRICKLE2
ANKRD33,2,ANKRD33
SAMD7,1,SAMD7
ZNF572,5,ZNF572
C16orf62,13,C16orf62
RGPD4,92,RGPD4
POGZ,59,POGZ
MIER3,14,MIER3
SLC46A3,4,SLC46A3
ZFYVE16,36,ZFYVE16
MON2,24,MON2
UBE3B,10,UBE3B
ZNF571,7,ZNF571
KRT28,5,KRT28
KRT27,3,KRT27
KRT26,5,KRT26
RD3,3,RD3
PIWIL3,3,PIWIL3
DENND4A,81,DENND4A
TMC7,12,TMC7
TMC6,17,TMC6
TMC4,7,TMC4
MYH14,41,MYH14
CSMD3,9,CSMD3
CSMD2,4,CSMD2
TMPRSS9,1,TMPRSS9
PEX26,2,PEX26
NUFIP2,47,NUFIP2
SZRD1,24,SZRD1
MAVS,32,MAVS
PKD1L2,13,PKD1L2
PKD1L3,6,PKD1L3
CYP2U1,3,CYP2U1
CLASP1,159,CLASP1
BNIPL,2,BNIPL
DHX29,20,DHX29
NPHP3,18,NPHP3
LINC00305,1,LINC00305
LRP10,9,LRP10
TRMT11,2,TRMT11
HDDC2,5,HDDC2
HAUS6,55,HAUS6
