Genes,1Y,4Y,8Y,23Y,30Y,36Y,40Y,Norm_Symbol
KIAA1468,2272256352.0036893,1299834864.3686564,2024783950.8827624,1204122409.8556285,495041402.36419904,923880256.6037576,1229598191.6999726,KIAA1468
KIAA1549,105974895.917209,36852605.42825964,67442004.12161632,122721971.41493282,19505867.468464237,121239025.77367574,315112018.82120353,KIAA1549
KIAA1549L,448982385.99196815,433282226.22421896,405666199.803025,583576087.6075412,315483094.30529314,539712604.4519181,424789238.001736,KIAA1549L
KIAA1598,1854756430.6345387,1550667346.7238483,1104908857.4757948,1139157911.7661586,1496187160.0384545,914396054.7798454,1218475994.8901813,KIAA1598
KIAA1671,9855884.908445267,48378198.8971142,9855884.908445267,10454914.140825463,10454914.140825463,10454914.140825463,10454914.140825463,KIAA1671
KIAA1715,184700758.46337557,115165926.33909573,91801569.78562523,24450956.53875421,292512026.4279565,244222354.51436087,254336657.39562365,KIAA1715
KIDINS220,38168109.13136254,10067831.49353568,32270911.007060986,11069871.903213367,11069871.903213367,11069871.903213367,11069871.903213367,KIDINS220
KIF14,10196772.427807638,10196772.427807638,10196772.427807638,9619890.463740826,9619890.463740826,9619890.463740826,9619890.463740826,KIF14
KIF1A,958511325.1783404,794289486.8471401,598756573.1033195,1198326479.3420901,1025881547.6306807,1010817216.9033595,1084703802.2324247,KIF1A
KIF1B,23804208.898729514,9609883.633288367,9609883.633288367,11529662.872400073,11529662.872400073,11529662.872400073,11529662.872400073,KIF1B
KIF21A,3409703067.5453773,3469306841.116225,3164953436.039337,4042962785.725043,3761205104.1761384,3703388606.2827673,3519399428.68996,KIF21A
KIF21B,821202399.6311582,168762360.15690023,156377024.95593375,131136618.04090282,493530040.01974815,28085411.698771,487104847.1156599,KIF21B
KIF2A,2972564450.3500404,2455008001.283676,1911965845.6426024,2484207660.079462,2460356237.505025,2488810205.201077,2610955838.123421,KIF2A
KIF3A,628055442.7151616,415869869.39531785,303542128.45432264,465993778.23478264,532643383.76788527,386175663.0607675,484385802.44434434,KIF3A
KIF3B,315884827.3664701,183367255.77477592,94826362.53880808,272620009.31469584,312118964.6359298,311652789.3778422,372285844.8725827,KIF3B
KIF5A,178417448.1511893,144564253.2519254,61196345.0367121,140235947.80866963,265280270.12727833,175595052.4899433,190647337.37744692,KIF5A
KIF5B,805271841.8133048,583019997.968219,367439472.2186392,572931144.6170347,747708629.5321733,590552216.2661017,751972321.7931688,KIF5B
KIF5C,6672279412.578929,5137726666.097949,3737680529.4311976,5275865771.487722,4868535366.510595,4603615109.613776,4824620697.32226,KIF5C
KIFAP3,306326259.00967187,196959056.78305548,198994695.31775945,40323069.81062548,330422098.52753186,40323069.81062548,251918821.52163392,KIFAP3
KIFC3,10221927.373961873,10221927.373961873,10221927.373961873,10454540.791818064,10454540.791818064,10454540.791818064,10454540.791818064,KIFC3
KLC1,3391062134.987575,2521588574.5333986,2061627170.4334984,2353998738.6597524,2795868377.1432533,2211960792.326762,2096765573.611683,KLC1
KLC2,482987914.43068606,211513333.50922805,142120698.23528576,234015094.83158207,341307363.0908912,195775565.99317324,44356545.8452084,KLC2
KLC4,18526498.4355796,60459949.47333461,38196294.19510411,22531652.468841136,22531652.468841136,22531652.468841136,22531652.468841136,KLC4
KLHL22,113562451.17977633,6047904.652072998,6047904.652072998,208103850.28833944,24918251.39377475,24918251.39377475,24918251.39377475,KLHL22
KLK6,31858197.46476817,277090081.6948517,85680698.88200621,79125261.69645713,187723207.32661092,91251488.15854266,11565477.722424176,KLK6
KMT2A,9001134.118201656,9001134.118201656,9001134.118201656,10220697.190568283,10220697.190568283,10220697.190568283,10220697.190568283,KMT2A
KMT2D,10119645.936757887,10119645.936757887,10119645.936757887,11893446.033480056,11893446.033480056,11893446.033480056,11893446.033480056,KMT2D
KNDC1,8407030.288923437,8407030.288923437,8407030.288923437,9200445.513248656,9200445.513248656,9200445.513248656,9200445.513248656,KNDC1
KNG1,41261742.58025887,9932246.72177807,9932246.72177807,11766226.852047507,140103243.99676302,137134530.15578693,11766226.852047507,KNG1
KPNA1;KPNA5,18281281.6963935,8244638.372272078,35052196.87526565,15328921.126376502,15328921.126376502,15328921.126376502,15328921.126376502,KPNA1
KPNA3,712489106.5030841,680553782.4597303,376634449.09346914,515893916.45661604,64594614.617073,437408633.5809748,730897322.4434023,KPNA3
KPNA4,906058686.4821099,700245690.5983902,264822829.63903832,441550944.8244999,65864008.18897827,508690790.7377969,464695354.91280216,KPNA4
KPNA6,473556570.0242582,431500624.0080224,142306508.19266102,41844817.53975709,434163598.52884686,41844817.53975709,288675721.4075688,KPNA6
KPNB1,6764863850.181064,7697656995.459902,5945618371.282393,6015238285.457787,6713056578.657342,6372770018.838755,6354911061.830277,KPNB1
KRAS,1167967102.8764935,733498977.8854512,979618735.627706,1523094682.508653,1435421357.5948253,1316020065.3082929,1487269912.0132375,KRAS
KREMEN1,10134266.525382388,10134266.525382388,10134266.525382388,10435854.663431302,10435854.663431302,10435854.663431302,10435854.663431302,KREMEN1
KRT1,1937415009.4075148,1541345398.7603865,531523940.05451006,89338171.67576316,9562933030.28205,89338171.67576316,2188344852.0852485,KRT1
KRT10;KRT17,10479531.562086074,10479531.562086074,10479531.562086074,10910122.567332562,529324016.3094544,10910122.567332562,10910122.567332562,KRT10
