Genes,1Y,4Y,8Y,23Y,30Y,36Y,40Y,Norm_Symbol
DOCK5,284754953.7586915,9454903.792931804,334294664.49708503,12713758.23139432,12713758.23139432,12713758.23139432,12713758.23139432,DOCK5
DOCK7,22649069.346861243,8294800.98364455,58487952.12405016,19932392.28790593,19932392.28790593,19932392.28790593,19932392.28790593,DOCK7
DOCK9,381535816.8073394,142273119.98628655,175910270.0022656,461782489.5837375,392096424.8456815,453351027.31601554,412415287.5639873,DOCK9
DOPEY2,18103022.996274896,28014014.34489886,27621208.6287282,15421665.001836395,15421665.001836395,15421665.001836395,15421665.001836395,DOPEY2
DPF3,9955393.085954452,9955393.085954452,9955393.085954452,9593413.896585625,9593413.896585625,9593413.896585625,9593413.896585625,DPF3
DPM1,52507088.50302008,45972101.95586152,67269378.582688,49058059.1253088,49058059.1253088,49058059.1253088,49058059.1253088,DPM1
DPM3,17285497.872502126,9680110.580748897,9680110.580748897,12219864.596856462,12219864.596856462,12219864.596856462,12219864.596856462,DPM3
DPP10,1505761142.8624144,1180399960.5135238,848041808.8468852,1117532632.7557037,853079529.2074018,1453740867.2412386,1269145680.4996536,DPP10
DPP3,633243241.5227356,363344807.8817796,574348339.7443137,381446195.6314584,532663052.5720816,485400136.80797976,537956325.7679144,DPP3
DPP6,5175970464.322649,5271074848.772682,4791190072.445459,3149784520.192618,3577281019.141326,5434946122.347228,2743546030.6717496,DPP6
DPP7,15025807.556527512,118933908.62434138,200047292.6920168,267823514.90118483,312037096.6112315,301272735.30231035,36554116.86832099,DPP7
DPP8,20147594.66200722,10099772.83495574,35434415.707652025,13440952.58944871,13440952.58944871,13440952.58944871,13440952.58944871,DPP8
DPY19L1;DPY19L2,9913456.001081066,66798081.87945977,9913456.001081066,9716834.883471314,9716834.883471314,9716834.883471314,9716834.883471314,DPY19L1
DPY30,40227636.027055584,75804152.84202147,105213575.6228184,54131295.96237741,54131295.96237741,54131295.96237741,54131295.96237741,DPY30
DPYSL2,196991855019.10892,285925547576.94965,241130953681.4403,279916006799.4824,265211737763.51926,287124997353.44354,251121934637.8553,DPYSL2
DPYSL3,65413295470.748375,25575365430.94504,16838404560.749075,14232831721.23234,17017170515.570997,15528716477.458513,11266300057.488855,DPYSL3
DPYSL4,13524803477.578844,8700687559.891117,4980006214.364689,7195990734.835056,5606863997.592028,6476472016.962142,7288473666.483513,DPYSL4
DPYSL5,45541267742.45348,23282528192.03791,16019152347.892548,27230319201.970287,19826828431.32259,16947263062.158075,16368574066.8986,DPYSL5
DR1,8408064.618181631,92290104.0243176,106966532.41465156,294153138.90502423,17580045.999374315,17580045.999374315,17580045.999374315,DR1
DRAP1,10486372.852825273,10486372.852825273,10486372.852825273,10673781.67849212,10673781.67849212,10673781.67849212,10673781.67849212,DRAP1
DRG1,87648859.10399736,86708025.88773322,87741900.89579642,111693763.84614302,31951694.33644552,113803474.61084372,31951694.33644552,DRG1
DRG2,164525889.30408362,114149368.49524982,9553592.66064828,32701515.58905095,13436809.474944301,13436809.474944301,64876535.95197557,DRG2
DSCR3,24031647.69252336,9170440.561096013,9170440.561096013,15505162.201226747,15505162.201226747,613148314.1378003,15505162.201226747,DSCR3
DSP,52645940.53031222,259180499.13333815,293988999.3265172,13078706.678912753,1426690547.6794221,13078706.678912753,13078706.678912753,DSP
DST,1930964404.296698,1783092230.6984398,1840942576.4637012,2423604030.6944923,2842706954.636456,1772528832.9882047,2057797177.0109715,DST
DSTN,4691746132.80561,7234770615.487359,5279675935.234721,6711681247.337129,5775662157.312437,5602400629.004996,4971765106.536347,DSTN
DTD1,114725259.86729182,40656963.10125517,108785638.69892156,51771197.70270824,573648347.292462,780673362.184956,925157106.1522881,DTD1
