Genes,1Y,4Y,8Y,23Y,30Y,36Y,40Y,Norm_Symbol
CTIF,9717222.811075408,9717222.811075408,9717222.811075408,14416449.499981128,14416449.499981128,14416449.499981128,14416449.499981128,CTIF
CTNNA1,174329188.20768023,94965000.26739404,83155252.93561013,24780819.46198469,116536927.6834083,274585482.24923164,172580942.487659,CTNNA1
CTNNA2,3374970937.166589,3189510086.495532,2772482301.787591,4625964949.087255,3730650005.503997,4770557796.466911,3783365323.56144,CTNNA2
CTNNA3,148382341.51915264,287972850.6454423,151053282.4814132,201414956.5073517,1284879625.772554,483424884.345479,326378130.69143635,CTNNA3
CTNNB1,6194134184.327038,5469772008.357392,5055577103.766029,6168072279.807876,5145564259.700408,6225520846.223276,5994193440.645414,CTNNB1
CTNNBL1,107054878.96386582,86424119.32305604,72310120.70690806,14541153.985954534,14541153.985954534,159082596.49986753,503819959.0843002,CTNNBL1
CTNND1,506406751.05108845,270739664.8113192,158469271.74369252,626691798.7365612,53661526.28867061,430512573.1739873,329259757.65726614,CTNND1
CTNND2,969522775.0679274,895574854.342649,662799334.677881,1722062682.1914926,953496252.3029188,1368697443.6057339,1017918221.426219,CTNND2
CTPS1,581391184.730798,269107223.2814744,55435757.30761265,845287095.0945513,662797494.4465133,790133802.2664949,637260802.8983,CTPS1
CTPS2,173862550.76941186,218429877.69615856,137572248.08607528,248142551.0413487,226481091.45034567,256835672.2928481,175915400.98675895,CTPS2
CTSA,58450491.01954378,9021676.805895315,71152653.37033941,16133916.512969995,16133916.512969995,16133916.512969995,16133916.512969995,CTSA
CTSB,979117946.3114746,700579135.810304,2010661965.9114747,1903072402.6748312,1957625532.4822285,1443127714.9554098,1665843279.8895226,CTSB
CTSD,9606462871.11776,12342580922.63483,13739857469.807142,14241477025.640482,13696252987.886992,12503503004.511198,15804036244.193796,CTSD
CTSH,10213700.786130607,10213700.786130607,10213700.786130607,9666068.660143953,9666068.660143953,9666068.660143953,9666068.660143953,CTSH
CTSL,10121282.946755167,10121282.946755167,10121282.946755167,9488822.340431463,9488822.340431463,9488822.340431463,9488822.340431463,CTSL
CTSZ,10331140.893874412,10331140.893874412,10331140.893874412,10705907.455125123,10705907.455125123,10705907.455125123,10705907.455125123,CTSZ
CTTN,1320538563.1406975,1711101896.7184575,1233021779.695797,1389975170.1660373,1582111703.1532454,1282523996.5861619,808753823.1811414,CTTN
CTTNBP2,88252849.22625944,127787722.18125506,198701419.10170677,24050470.97029629,24050470.97029629,249850486.94745216,226915473.81787044,CTTNBP2
CUL1,123699733.83280794,209469658.8012285,217754246.85727724,462638888.50549084,377130024.9140812,314274491.884529,387476590.2147844,CUL1
CUL2,461950870.7868245,467293686.81333673,451608721.5415097,671484291.5462505,505377623.2171409,930976056.858766,611375179.4459519,CUL2
CUL3,1128498860.9266348,1208328865.8532221,1076688871.818992,1567368086.9916933,1494095882.8392446,1463685197.6368663,1518484446.867691,CUL3
CUL4A,51366798.0480969,54048615.3482475,46407290.48086305,22198881.408433545,22198881.408433545,22198881.408433545,22198881.408433545,CUL4A
CUL4B,1708379041.1623404,1123038910.3866982,933092720.277474,697995082.2560916,749536720.5078155,784870754.3197991,717882655.2853001,CUL4B
CUL5,817251309.9089147,969387995.0607227,890391127.2448256,1131004313.5781386,1137583409.532927,1209189536.6827874,1067452841.4311752,CUL5
CUTA,318921768.31773794,743411360.9858303,83308078.1762886,2415144252.8312035,2161781387.3269696,2212326290.656984,2181593529.8052483,CUTA
CUTC,10934114.959982416,10934114.959982416,10934114.959982416,10525645.118431423,10525645.118431423,207217276.65209085,10525645.118431423,CUTC
CXADR,120540514.5350008,45021657.61639831,13663774.046055302,54201581.53522298,54201581.53522298,54201581.53522298,54201581.53522298,CXADR
