Genes,Phosphosite_mouse_no,Norm_Symbol
TRP53BP2,20,TRP53BP2
KRT83,2,KRT83
5730471H19RIK,1,5730471H19RIK
5730522E02RIK,1,5730522E02RIK
5830473C10RIK,1,5830473C10RIK
SCG5,3,SCG5
8030474K03RIK,5,8030474K03RIK
NUFIP2,24,NUFIP2
9130019O22RIK,4,9130019O22RIK
9130023H24RIK,3,9130023H24RIK
9230104M06RIK,2,9230104M06RIK
9430038I01RIK,1,9430038I01RIK
9530053A07RIK,12,9530053A07RIK
9930111J21RIK1,2,9930111J21RIK1
AFM,5,AFM
MYBL1,2,MYBL1
A1BG,1,A1BG
A230065H16RIK,3,A230065H16RIK
GM16897,2,GM16897
A430057M04RIK,1,A430057M04RIK
A430078G23RIK,3,A430078G23RIK
A4GALT,3,A4GALT
A4GNT,2,A4GNT
TWF1,6,TWF1
A630001G21RIK,2,A630001G21RIK
A630012P03RIK,5,A630012P03RIK
A630033H20RIK,1,A630033H20RIK
TWF2,4,TWF2
DLC1,44,DLC1
A730071L15RIK,4,A730071L15RIK
A830005F24RIK,3,A830005F24RIK
A830073O21RIK,1,A830073O21RIK
AANAT,3,AANAT
AAAS,6,AAAS
AACS,2,AACS
AADAC,3,AADAC
NCEH1,5,NCEH1
AADACL3,2,AADACL3
AADAT,2,AADAT
1110018J18RIK,3,1110018J18RIK
AAGAB,7,AAGAB
AAK1,40,AAK1
1810020D17RIK,1,1810020D17RIK
AAR2,1,AAR2
AARS,4,AARS
AARSD1,11,AARSD1
AASDH,1,AASDH
AASS,3,AASS
AATF,6,AATF
HEATR6,9,HEATR6
ABCA1,15,ABCA1
ABCA12,2,ABCA12
ABCA13,3,ABCA13
ABCA14,3,ABCA14
ABCA15,4,ABCA15
ABCA2,11,ABCA2
ABCA3,1,ABCA3
ABCA5,3,ABCA5
ABCA6,5,ABCA6
ABCA7,2,ABCA7
ABCA8B,4,ABCA8B
ABCA8A,7,ABCA8A
ABCA9,2,ABCA9
ABCB1A,6,ABCB1A
ABCB10,4,ABCB10
ABCB11,13,ABCB11
ABCB1,5,ABCB1
ABCB4,12,ABCB4
ABCB5,2,ABCB5
ABCB7,4,ABCB7
ABCB8,5,ABCB8
ABCC1,17,ABCC1
ABCC10,4,ABCC10
ABCC12,5,ABCC12
ABCC2,17,ABCC2
ABCC3,6,ABCC3
ABCC4,13,ABCC4
ABCC5,11,ABCC5
ABCC6,2,ABCC6
ABCC8,1,ABCC8
ABCC9,8,ABCC9
ABCD1,4,ABCD1
ABCD2,5,ABCD2
ABCD3,8,ABCD3
ABCD4,1,ABCD4
ABCE1,2,ABCE1
ABCF1,22,ABCF1
ABCF2,1,ABCF2
ABCF3,4,ABCF3
ABCG1,2,ABCG1
ABCG3,1,ABCG3
ABCG5,3,ABCG5
ABHD12,1,ABHD12
ABHD13,1,ABHD13
ABHD14A,2,ABHD14A
ABHD14B,1,ABHD14B
ABHD15,8,ABHD15
ABHD2,1,ABHD2
ABHD5,4,ABHD5
EPHX3,2,EPHX3
ABI1,36,ABI1
ABI2,20,ABI2
ABI3,6,ABI3
ABL1,25,ABL1
ABLIM1,47,ABLIM1
ABLIM2,22,ABLIM2
ABLIM3,32,ABLIM3
ABO,1,ABO
ABP1,1,ABP1
SCGB2B24,1,SCGB2B24
ABR,9,ABR
ABRA,1,ABRA
FAM175A,4,FAM175A
ABT1,1,ABT1
ABTB1,3,ABTB1
ABTB2,3,ABTB2
CN725425,3,CN725425
ACAA1A,10,ACAA1A
ACAA1B,10,ACAA1B
ACAA2,8,ACAA2
ACAD10,3,ACAD10
