Genes,1Y,4Y,8Y,23Y,30Y,36Y,40Y,Norm_Symbol
ACTG1,3579385606.7591796,2611403018.051265,2271212289.573623,7842050868.826589,5050306842.072911,8112194610.822938,75261184.17212535,ACTG1
ACTL6A,9739018.706094753,9739018.706094753,9739018.706094753,23337808.441561334,23337808.441561334,23337808.441561334,23337808.441561334,ACTL6A
ACTL6B,303569128.0889552,140521431.87996507,157778648.29598576,496223289.6390458,473518932.9443989,377827339.52404016,50884588.73908358,ACTL6B
ACTN1,21273970368.620937,25396838238.537643,33977057527.40842,34206624969.18044,24322677520.489067,28352809662.596626,23884845583.669083,ACTN1
ACTN2,5515893880.446064,3657671408.473632,6094434466.004004,6764162853.587368,7438951732.399756,7872089884.863807,4577845846.121098,ACTN2
ACTN4,12179767165.880695,12104340264.024702,13387261051.181791,11437659359.810305,9557012235.043137,7850287228.072253,8421188022.671752,ACTN4
ACTR10,971272558.5533664,1001583923.4344476,589437588.7660317,826158875.9050454,963409473.611189,950121599.9450995,987350775.6911416,ACTR10
ACTR1A,7500839884.282467,8754242214.327723,6605504920.3914795,7719055266.842617,8071494340.732963,7265185178.839416,7146025823.935329,ACTR1A
ACTR1B,1191612687.9207532,1548929916.7046506,2279561485.451823,2198598337.824411,2370632211.0664053,2370891840.373744,2156539597.533652,ACTR1B
ACTR2,6780442548.666014,5498233289.870628,5546442988.943366,5437284793.178493,4587216314.714925,5344797794.049978,4349870299.02462,ACTR2
ACTR3,8944752697.628902,6400457770.524557,6497981394.399397,7019117015.766482,7190548767.73833,6326707748.094749,6511038061.431732,ACTR3
ACTR3B,3495310025.4624805,2570262731.1773252,3047389593.8724203,3463451622.5882826,2590502784.2539053,2878637033.7242045,2097471859.1340168,ACTR3B
ACVR1,10025189.613764832,10025189.613764832,10025189.613764832,9864818.325083673,9864818.325083673,9864818.325083673,9864818.325083673,ACVR1
ACY1,25800887.57427287,99917243.04246524,88361510.53452422,155345948.88578182,133652012.57875046,146441218.40624055,196636158.222496,ACY1
ACY3,42239107.72785937,10589080.560993312,10589080.560993312,10603633.355230613,10603633.355230613,10603633.355230613,106196980.05474807,ACY3
ACYP1,639371635.3251175,582111419.9186668,508160135.8336458,474642623.15127265,364498063.37685245,482226605.07582784,430737046.8628576,ACYP1
ACYP2,1291052865.2272148,1970117973.413996,1058091612.8770422,1627151198.0545368,1825506862.493185,1318802721.839218,1798582552.335371,ACYP2
ADA,70303947.22838405,147678260.78433537,41202416.014023416,20285815.31091,20285815.31091,20285815.31091,20285815.31091,ADA
ADAM10,70709720.29214258,485675459.34770685,367760718.981693,250129369.91263357,478898881.25705534,335257014.2257607,519494676.73752,ADAM10
ADAM11,182752306.91866612,136992235.26661688,229591320.28248405,626046192.2258217,43097430.26369757,43097430.26369757,43097430.26369757,ADAM11
ADAM22,1251074100.4927225,2061094025.944815,2563783866.1419826,2059144208.8591921,1663354071.5681481,2098057639.4846945,1707259367.0607078,ADAM22
ADAM23,738562609.7350229,1048934688.3486028,1204402970.8557684,1257760389.4338028,1068262420.0463216,999284469.6765658,932274389.5310334,ADAM23
ADAM9,10105232.994155226,10105232.994155226,10105232.994155226,7917469.481036535,7917469.481036535,7917469.481036535,7917469.481036535,ADAM9
ADAP1,877437438.8214207,1425188420.8342032,1234048240.6496062,991650880.8820939,1164264951.0875356,881485428.6259387,1115966823.5435386,ADAP1
ADAR,290614941.34034127,194071403.1270366,280217594.2456676,196004782.66512397,414247615.4004036,217184577.39280656,420242464.296623,ADAR
ADARB1,9984442.041579787,9984442.041579787,9984442.041579787,11382549.365606053,11382549.365606053,11382549.365606053,11382549.365606053,ADARB1
ADCK3,353072127.421352,184654667.18125844,346714872.24043965,41224968.122937866,41224968.122937866,41224968.122937866,41224968.122937866,ADCK3
ADCY1,215165546.81130615,113086732.79851736,76203635.72395183,185080651.50642568,205798315.94801632,215730539.7681762,101696703.78346132,ADCY1
ADCY2,395924115.25038266,217609166.75281316,265848497.83765665,420421206.50801986,870291470.4276656,52643917.14167538,52643917.14167538,ADCY2
ADCY5,24676658.961146444,7050438.026737698,42972138.05464352,25637821.86645005,23991204.601629835,24913271.07544739,21253466.142177,ADCY5
ADCY8,121379001.16944335,81817499.9914588,157407008.03407052,19555581.61460147,19555581.61460147,19555581.61460147,19555581.61460147,ADCY8
ADCY9,32087692.01234596,8923179.795745242,8923179.795745242,15307045.46699164,15307045.46699164,15307045.46699164,15307045.46699164,ADCY9
ADCYAP1R1,33147531.23352639,69926616.76004466,9245646.968087437,139475645.01093885,14630620.21022861,88420484.29787669,150317358.05681923,ADCYAP1R1
ADD1,12753484562.211756,14535680990.644888,16815395634.508953,16380355702.008816,14654969684.938309,14688888499.582874,11979892961.051292,ADD1
ADD2,12413583235.183022,11272955039.859442,12541661370.90883,13560744239.67633,14400867343.030653,12790379817.845057,9977930125.714294,ADD2
ADD3,2990513872.3403764,4625199384.744536,4609276218.29394,5188368261.677384,4518610681.38849,4419069994.5952215,3876288033.569236,ADD3
ADH1B,10345966.244149964,10345966.244149964,10345966.244149964,10910217.9716155,10910217.9716155,10910217.9716155,81571826.24866591,ADH1B
ADH5,4395009646.669465,4687747345.872622,4810152739.599086,3919665712.258334,4726943121.032422,4432843689.297424,4468764551.220464,ADH5
ADHFE1,19030075.86535072,50349243.11260859,8511107.10354324,15823405.47764019,15823405.47764019,15823405.47764019,15823405.47764019,ADHFE1
ADIRF,19517802.4156815,107697936.65746152,127836743.19444507,478579929.4060088,31067261.67960347,31067261.67960347,262698402.13822827,ADIRF
ADK,366327155.6145848,696844994.6400241,61495930.60748293,338976009.4422243,423901145.9338404,274639349.71120083,250038598.1208441,ADK
ADNP,9029991.335553857,33713971.99300645,9029991.335553857,21920758.17753569,21920758.17753569,21920758.17753569,21920758.17753569,ADNP
ADO,313374436.0076179,92238789.36398344,115843159.43636592,269657289.10805213,315950450.1784043,290006531.86804664,246654416.3981705,ADO
ADPRHL2,37560731.47695669,114656984.58889876,137181435.1810861,234165175.51415232,249938708.8585277,180852383.66080502,288723862.4269087,ADPRHL2
ADRBK1,1138841229.0162742,395601671.5781056,573443940.9339406,693615036.1772053,572486313.6252571,476502769.32305056,363928521.1799776,ADRBK1
ADRBK2,24410167.38981084,9917417.527479883,42827925.880620174,9817158.146844242,9817158.146844242,9817158.146844242,9817158.146844242,ADRBK2
ADRM1,263818975.29256013,185983585.01238856,170100161.63724944,237860464.1442806,41445202.54513723,332967072.0057024,291739144.03686535,ADRM1
ADSL,166948220.60648447,180541270.3172913,118420007.02240324,117083405.47855996,228683597.7468413,165378221.09767455,163149585.4057165,ADSL
ADSS,605975477.7432607,863457965.5486715,794886073.0266682,669474199.2949282,1043017727.7098328,858084557.1623862,985786553.2304617,ADSS
AF196779.12,337149692.14198047,530207449.0759876,144296099.6856299,495302345.5169792,47659731.73723266,47659731.73723266,47659731.73723266,AF196779.12
AFAP1L1;AFAP1,23593916.747487005,10070012.130219152,10070012.130219152,10012450.040912053,10012450.040912053,10012450.040912053,10012450.040912053,AFAP1L1
AFG3L2,1834802836.4795704,1183960750.9828775,1685035986.4070187,1745009311.3827956,1534247001.9210415,1546588314.2446387,1489259058.5036027,AFG3L2
AFM,22118152.242583133,9795663.575494593,9795663.575494593,11171318.90522521,11171318.90522521,11171318.90522521,11171318.90522521,AFM
AFTPH,9806684.557994973,9806684.557994973,9806684.557994973,14361656.277662288,14361656.277662288,14361656.277662288,14361656.277662288,AFTPH
AGAP1,331389905.5774237,341397399.4421785,514065900.2694392,422495423.6916839,347011411.3905685,522886450.07913625,451853786.30614483,AGAP1
AGAP2,915107263.0804064,698766041.0775093,697721343.5360013,773714307.8716365,695860199.903409,782331690.6863191,393622976.61774737,AGAP2
AGAP3,1230888941.6867332,826843415.7253579,921549672.8884213,1141208374.8449295,1095088910.0754898,1322139635.392075,870372326.150005,AGAP3
AGFG1,231704009.09315756,343485410.3550062,565338221.9930277,447497424.55507165,471232229.5312709,353513540.52084714,238265645.0037709,AGFG1
AGFG2,9902181.320334846,9902181.320334846,9902181.320334846,9990753.119579293,9990753.119579293,9990753.119579293,9990753.119579293,AGFG2
AGK,1340170149.8760676,864887075.2079524,343085782.63124037,1771296930.7558632,1571856687.3817794,1289735261.9259362,721220422.3979409,AGK
AGL,1766552058.5896065,1904845548.7955422,1102273485.1019022,2171949934.8317327,1963025311.1165688,2111235554.700844,1778399432.4816747,AGL
AGO1,186769348.6480894,146740835.7387709,60244167.50783288,251879848.31913468,36241315.17750893,272117700.53295875,254226656.20234233,AGO1
AGO2,53537956.11757557,5603357.244686716,42947571.05686674,33823326.51446269,33823326.51446269,33823326.51446269,33823326.51446269,AGO2
AGPAT1,278052568.5255022,232889860.53073987,193257490.58437,432365174.70803154,473362119.4496237,412202111.10442615,14840707.581100922,AGPAT1
AGPAT3,130541153.92664626,145236815.6698669,122861867.29957229,156205348.38519552,24848304.59630381,24848304.59630381,24848304.59630381,AGPAT3
AGPAT4,84453616.88822588,109542708.1769634,88349767.54860757,27005633.117799643,247270277.2575769,27005633.117799643,27005633.117799643,AGPAT4
AGPAT5,175395519.04926586,145042086.1102987,194895209.7044185,266954369.76471537,220194685.21344712,230256844.9868685,167284405.3942194,AGPAT5
AGPS,62525310.73618452,41323035.80979184,18245119.37366716,211131696.7481245,39314722.1489155,213918021.44915712,39314722.1489155,AGPS
AGRN,912858127.204386,612738365.4385065,597856266.7580825,720971312.9070967,814393762.1006508,687005378.1469227,707315200.5763749,AGRN
AGT,184928168.0740908,681471617.6765809,236322252.52434683,572940862.6216443,664463864.4859352,632241582.6875798,701930091.0710827,AGT
AGTPBP1,82983312.12544319,59481024.67887256,8087638.740416489,55130710.07996358,53207189.74375282,54244837.64604317,15813089.063394532,AGTPBP1
AHCTF1,8953807.39383881,254986435.7303148,8953807.39383881,11482342.681426926,11482342.681426926,11482342.681426926,11482342.681426926,AHCTF1
AHCY,4945605223.8750105,5105895942.582789,4866866704.583597,4444668141.726694,5137611308.998824,4971803506.416605,5157434538.104738,AHCY
AHCYL1,5435135236.758982,6417922868.815329,6945138131.172932,7984520746.966129,5739151943.445478,6799937643.881368,5789597990.771705,AHCYL1
AHCYL2,1538789408.703312,949885319.2935117,2213862018.5895724,1332428165.9927492,904806340.5415939,1047714223.4481301,679566698.5891532,AHCYL2
AHNAK;NRIP1,1714244981.1839767,2869386666.5624704,2041087390.8842854,2972858902.7911224,3649344183.0198174,2301187281.261096,3503529129.398559,AHNAK
AHNAK2,1197060987.0215814,3212161485.423589,1856570706.287757,2186702457.372602,2868771806.4180675,2328642127.9140573,2234348789.3560247,AHNAK2
AHSA1,1570245636.3834677,2151892762.0687265,1873217831.6829011,1609949803.0959811,1636064751.8601165,1592905662.465372,1122320938.5587509,AHSA1
AHSG,44103842.30629864,8483329.980331236,8483329.980331236,16841825.315072432,16841825.315072432,16841825.315072432,16841825.315072432,AHSG
AHSP,16098630.598053355,16098630.598053355,16098630.598053355,9855704.315677864,9855704.315677864,9855704.315677864,9855704.315677864,AHSP
AIDA,133893302.98216332,19872755.306531448,36244742.53644291,173281986.59976453,155194051.07835406,179880221.42727548,31212916.546581294,AIDA
AIF1L,85973219.52462226,255535571.56899425,99603270.72173646,125806336.0618323,128408671.60626362,95530372.0410746,143702215.12488958,AIF1L
AIFM1,1230345967.1358562,1108040559.7407804,1248044166.5586126,1552009987.8412704,1076906451.430648,1296062866.4265962,672772878.4615737,AIFM1
AIFM3,10120385.923681792,10120385.923681792,10120385.923681792,9477959.233838793,9477959.233838793,9477959.233838793,9477959.233838793,AIFM3
AIG1,10210042.24912674,10210042.24912674,10210042.24912674,9656076.440213196,9656076.440213196,9656076.440213196,9656076.440213196,AIG1
AIMP1,785472360.7250882,760074592.7881073,1066268398.7275572,906942917.585868,871220286.3393582,732845876.2440758,849797461.8157964,AIMP1
AIMP2,215698147.80902445,195757698.17314893,239987893.65651157,372524608.6965148,414728516.08411497,301412528.41722405,30493342.86024944,AIMP2
AIP,233376593.85542816,434605448.98019046,358849701.90350485,505652876.67669344,472668030.3479206,403225950.8517795,447644916.8444832,AIP
AK1,6464469267.02807,3538326198.0670404,5480042165.223985,6908627438.180294,7475921336.904588,6626926336.605622,6209272677.25101,AK1
AK2,420047948.9156144,234867043.42884362,159921776.19753185,520077815.555302,356607381.6675699,372173199.9149533,319761723.21704435,AK2
AK3,1417792532.0198965,1903929978.7551134,1719255697.342774,2174311022.07703,1682807355.3560946,1689853831.2795136,1579374232.4353135,AK3
AK4,1632971897.3321815,1428596265.8328085,2258407313.3122,2645082866.606418,2233746125.924425,1986461112.9191642,1721123791.901754,AK4
AK5,2051733678.7117035,2987071558.3732033,3619804887.586803,3649749387.8601,4564172880.015601,4075951819.396818,3543082884.9464955,AK5
AKAP1,226146119.5916152,223031645.56769463,271945738.7918808,150508652.76415905,150508652.76415905,150508652.76415905,150508652.76415905,AKAP1
AKAP10,55311388.34800895,54790360.91143922,64972851.76789731,24775046.900444724,24775046.900444724,24775046.900444724,24775046.900444724,AKAP10
AKAP11,9800779.245976506,9800779.245976506,9800779.245976506,9018229.092287024,9018229.092287024,9018229.092287024,9018229.092287024,AKAP11
AKAP12,1566478390.7311716,5977938033.657938,4637947803.687784,4956813600.528606,5330127596.370575,4588911947.618479,3857505722.5073524,AKAP12
AKAP5,415983671.4408228,333148920.9102359,428732745.82726216,727172451.6089633,461189437.8136592,710651259.366797,378550884.7016103,AKAP5
AKAP6,8727876.744584616,8727876.744584616,8727876.744584616,32686000.58173437,32686000.58173437,32686000.58173437,32686000.58173437,AKAP6
