,Node1,Node2
354,DLG4,PPP1CB
355,DLG4,PPP1R9B
356,DLG4,PPP3CA
357,DLG4,PPP3CB
358,DLG4,PRKACB
359,DLG4,PRKAR2B
360,DLG4,PRKCB
361,DLG4,PRKCE
362,DLG4,PRKCG
363,DLG4,PTK2
364,DLG4,RAC1
365,DLG4,RAP2B
366,DLG4,SHANK1
367,DLG4,SHANK2
368,DLG4,SORBS1
369,DLG4,SORBS2
370,DLG4,SYNE1
371,DLG4,SYNE2
372,DLG4,SYNGAP1
373,DLG4,SYNJ1
374,DLG4,YWHAB
375,DLG4,YWHAE
376,DLG4,YWHAG
377,DLG4,YWHAZ
378,DLGAP1,ABLIM1
379,DLGAP1,ADAM22
380,DLGAP1,AGAP2
381,DLGAP1,ARC
382,DLGAP1,ARF3
383,DLGAP1,ARF5
384,DLGAP1,ARHGAP32
385,DLGAP1,ARHGAP39
386,DLGAP1,ARVCF
387,DLGAP1,BAI2
388,DLGAP1,BAI3
389,DLGAP1,BAIAP2
390,DLGAP1,BEGAIN
391,DLGAP1,BTBD11
392,DLGAP1,CAMK2A
393,DLGAP1,CAMK2B
394,DLGAP1,CAMK2D
395,DLGAP1,CAMK2G
396,DLGAP1,CAPZA2
397,DLGAP1,CASKIN1
398,DLGAP1,CDK5
399,DLGAP1,CIT
400,DLGAP1,CNKSR2
401,DLGAP1,CNTNAP1
402,DLGAP1,CTNNB1
403,DLGAP1,CTNND1
404,DLGAP1,CTNND2
405,DLGAP1,CYFIP1
406,DLGAP1,CYFIP2
407,DLGAP1,CYLD
408,DLGAP1,CYTH3
409,DLGAP1,DAB2IP
410,DLGAP1,DDN
411,DLGAP1,DIAPH1
412,DLGAP1,DLG1
413,DLGAP1,DLG2
414,DLGAP1,DLG3
415,DLGAP1,DLG4
416,DLGAP1,DLGAP2
417,DLGAP1,DLGAP3
418,DLGAP1,DLGAP4
419,DLGAP1,DNAJC6
420,DLGAP1,DNM1
421,DLGAP1,DPYSL2
422,DLGAP1,DSTN
423,DLGAP1,DZANK1
424,DLGAP1,EPB41L1
425,DLGAP1,EPB41L3
426,DLGAP1,ERBB2IP
427,DLGAP1,FARP1
428,DLGAP1,FBXO2
429,DLGAP1,FBXO41
430,DLGAP1,GDI2
431,DLGAP1,GIT1
432,DLGAP1,GLUL
433,DLGAP1,GNB1
434,DLGAP1,GNB2
435,DLGAP1,GNB2L1
436,DLGAP1,GRIA2
437,DLGAP1,GRIA3
438,DLGAP1,GRIN1
439,DLGAP1,GRIN2A
440,DLGAP1,GRIN2B
441,DLGAP1,GRIN2D
442,DLGAP1,GSN
443,DLGAP1,HOMER1
444,DLGAP1,IQGAP2
445,DLGAP1,IQSEC1
446,DLGAP1,IQSEC2
447,DLGAP1,IQSEC3
448,DLGAP1,ITIH4
449,DLGAP1,KALRN
450,DLGAP1,KCNA1
451,DLGAP1,KCNA2
452,DLGAP1,KCNA4
453,DLGAP1,KCNAB1
454,DLGAP1,KCNJ10
455,DLGAP1,KCNJ4
456,DLGAP1,KIF5A
457,DLGAP1,KIF5C
458,DLGAP1,LGI1
459,DLGAP1,LRRC15
460,DLGAP1,LRRC7
461,DLGAP1,LRRTM1
462,DLGAP1,MAPK1
463,DLGAP1,MAPK3
464,DLGAP1,MINK1
465,DLGAP1,MPDZ
466,DLGAP1,MPRIP
467,DLGAP1,NBEA
468,DLGAP1,NCDN
469,DLGAP1,NCKAP1
470,DLGAP1,NEFH
471,DLGAP1,NEFL
