Parent	Child	EdgeType
integral component of postsynaptic specialization membrane	CHRNA1	Gene-Term
integral component of postsynaptic specialization membrane	CHRND	Gene-Term
integral component of postsynaptic specialization membrane	CHRNB1	Gene-Term
integral component of postsynaptic specialization membrane	CHRNE	Gene-Term
integral component of postsynaptic specialization membrane	CHRNE	Gene-Term
integral component of postsynaptic specialization membrane	GLRA4	Gene-Term
integral component of postsynaptic specialization membrane	GLRA1	Gene-Term
integral component of postsynaptic specialization membrane	GLRA3	Gene-Term
synapse	GLRB	Gene-Term
integral component of presynaptic membrane	HTR3A	Gene-Term
integral component of postsynaptic density membrane	CACNG2	Gene-Term
integral component of postsynaptic density membrane	CACNG3	Gene-Term
integral component of postsynaptic density membrane	CACNG8	Gene-Term
integral component of postsynaptic ER membrane	CPT1C	Gene-Term
postsynaptic density, intracellular component	DLG1	Gene-Term
anchored component of postsynaptic density membrane	DLG2	Gene-Term
anchored component of postsynaptic density membrane	DLG4	Gene-Term
postsynaptic density, intracellular component	DLG3	Gene-Term
integral component of postsynaptic density membrane	GRID1	Gene-Term
integral component of postsynaptic specialization membrane	GABRA2	Gene-Term
integral component of postsynaptic specialization membrane	GABRA3	Gene-Term
integral component of postsynaptic specialization membrane	GABRA1	Gene-Term
integral component of postsynaptic density membrane	GRID2	Gene-Term
synapse	GABRA3	Gene-Term
extrinsic component of presynaptic endocytic zone membrane	AMPH	Gene-Term
synaptic vesicle membrane	CLTA	Gene-Term
synaptic vesicle membrane	CLTB	Gene-Term
integral component of postsynaptic membrane	GABRA5	Gene-Term
integral component of postsynaptic specialization membrane	GABRA4	Gene-Term
integral component of postsynaptic density membrane	SLC16A7	Gene-Term
integral component of postsynaptic membrane	CACNG5	Gene-Term
postsynaptic density	USP8	Gene-Term
extrinsic component of postsynaptic density membrane	SCRIB	Gene-Term
postsynaptic recycling endosome	RAB11A	Gene-Term
postsynaptic density	DNAJB1	Gene-Term
integral component of postsynaptic membrane	FLRT3	Gene-Term
extrinsic component of postsynaptic density membrane	TIAM1	Gene-Term
postsynaptic density	ARHGAP44	Gene-Term
presynaptic active zone	ARHGAP44	Gene-Term
presynapse	HIP1	Gene-Term
postsynaptic membrane	HIP1	Gene-Term
postsynapse	PTK2	Gene-Term
postsynaptic endosome	NSG1	Gene-Term
postsynaptic specialization membrane	RAPSN	Gene-Term
synaptic cleft	ACHE	Gene-Term
postsynapse	PTK2B	Gene-Term
neuronal dense core vesicle	SCG2	Gene-Term
synaptic cleft	LAMA5	Gene-Term
synaptic cleft	LAMB2	Gene-Term
postsynapse	NTRK2	Gene-Term
integral component of postsynaptic membrane	DAGLA	Gene-Term
integral component of postsynaptic density membrane	SHISA9	Gene-Term
postsynaptic density	GRIP2	Gene-Term
integral component of postsynaptic density membrane	NETO1	Gene-Term
postsynapse	RAC1	Gene-Term
postsynapse	STX3	Gene-Term
postsynapse	RAC1	Gene-Term
integral component of postsynaptic membrane	ITGB1	Gene-Term
presynaptic endosome	AP3D1	Gene-Term
integral component of postsynaptic membrane	KCND2	Gene-Term
integral component of postsynaptic membrane	GABRD	Gene-Term
integral component of postsynaptic membrane	GABRD	Gene-Term
integral component of postsynaptic specialization membrane	GABRA5	Gene-Term
integral component of postsynaptic membrane	GABRB3	Gene-Term
integral component of postsynaptic specialization membrane	GABRB3	Gene-Term
integral component of postsynaptic specialization membrane	GABRA2	Gene-Term
integral component of postsynaptic specialization membrane	GABRA1	Gene-Term
integral component of postsynaptic specialization membrane	GABBR1	Gene-Term
integral component of postsynaptic membrane	GABBR1	Gene-Term
integral component of presynaptic active zone membrane	GABBR1	Gene-Term
integral component of postsynaptic specialization membrane	GABRG2	Gene-Term
integral component of postsynaptic membrane	PRRT1	Gene-Term
extrinsic component of synaptic membrane	OLFM2	Gene-Term
integral component of postsynaptic specialization membrane	GABRA6	Gene-Term
extrinsic component of synaptic membrane	OLFM1	Gene-Term
integral component of postsynaptic density membrane	CNIH2	Gene-Term
integral component of postsynaptic density membrane	LRFN3	Gene-Term
postsynaptic density, intracellular component	ABR	Gene-Term
postsynaptic density, intracellular component	BCR	Gene-Term
postsynaptic density	DGKZ	Gene-Term
extrinsic component of postsynaptic density membrane	DGKI	Gene-Term
extrinsic component of postsynaptic density membrane	DGKB	Gene-Term
postsynaptic density, intracellular component	PSD	Gene-Term
postsynaptic endocytic zone	SYNE1	Gene-Term
postsynaptic density	HSPA8	Gene-Term
synaptic cleft	LAMA2	Gene-Term
synaptic cleft	LAMC1	Gene-Term
synaptic cleft	LAMA4	Gene-Term
anchored component of presynaptic membrane	GPC4	Gene-Term
integral component of synaptic membrane	ITGB5	Gene-Term
integral component of synaptic membrane	ITGB3	Gene-Term
integral component of synaptic membrane	ITGB1	Gene-Term
integral component of postsynaptic density membrane	LRFN1	Gene-Term
integral component of postsynaptic density membrane	LRFN2	Gene-Term
integral component of postsynaptic density membrane	LRFN4	Gene-Term
integral component of postsynaptic density membrane	LRFN5	Gene-Term
postsynapse	RHOA	Gene-Term
integral component of postsynaptic density membrane	LRRC4	Gene-Term
integral component of postsynaptic density membrane	LRRC4B	Gene-Term
integral component of postsynaptic density membrane	LRRC4C	Gene-Term
integral component of postsynaptic density membrane	LRRC7	Gene-Term
integral component of presynaptic membrane	NCAM1	Gene-Term
postsynapse	RHOA	Gene-Term
postsynaptic density	GRIP1	Gene-Term
integral component of presynaptic active zone membrane	NECTIN1	Gene-Term
postsynaptic density	KALRN	Gene-Term
integral component of postsynaptic membrane	KCND2	Gene-Term
integral component of postsynaptic specialization membrane	KCND2	Gene-Term
integral component of postsynaptic specialization membrane	KCND3	Gene-Term
postsynaptic SER	MYO5A	Gene-Term
integral component of presynaptic membrane	PTPRS	Gene-Term
integral component of postsynaptic density membrane	PTPRF	Gene-Term
integral component of presynaptic membrane	PTPRD	Gene-Term
postsynaptic density, intracellular component	TANC1	Gene-Term
postsynaptic density, intracellular component	TANC2	Gene-Term
integral component of postsynaptic specialization membrane	GABRB2	Gene-Term
integral component of postsynaptic specialization membrane	GABRG2	Gene-Term
integral component of synaptic membrane	GABRG3	Gene-Term
integral component of postsynaptic membrane	GABRD	Gene-Term
integral component of postsynaptic specialization membrane	GABRA2	Gene-Term
postsynaptic density, intracellular component	PRR7	Gene-Term
integral component of postsynaptic membrane	GABRE	Gene-Term
postsynapse	CACNB1	Gene-Term
synapse	CORO1A	Gene-Term
integral component of postsynaptic membrane	DRD1	Gene-Term
integral component of postsynaptic density membrane	PTPRT	Gene-Term
integral component of postsynaptic density membrane	PTPRO	Gene-Term
integral component of synaptic membrane	PTPRA	Gene-Term
integral component of postsynaptic density membrane	PTPRZ1	Gene-Term
synapse	ABLIM3	Gene-Term
postsynaptic density	CAPZB	Gene-Term
integral component of presynaptic active zone membrane	CDH10	Gene-Term
integral component of postsynaptic specialization membrane	CDH10	Gene-Term
synapse	CDH11	Gene-Term
synapse	CDH13	Gene-Term
anchored component of presynaptic active zone membrane	NTNG1	Gene-Term
anchored component of presynaptic active zone membrane	NTNG2	Gene-Term
integral component of postsynaptic density membrane	NECTIN3	Gene-Term
postsynaptic density, intracellular component	SNX1	Gene-Term
integral component of postsynaptic density membrane	SHISA6	Gene-Term
integral component of postsynaptic specialization membrane	SHISA7	Gene-Term
postsynaptic density, intracellular component	GAPDH	Gene-Term
extrinsic component of synaptic vesicle membrane	GAPDH	Gene-Term
synapse	YWHAQ	Gene-Term
integral component of postsynaptic membrane	ADRB2	Gene-Term
synaptic cleft	NPTX1	Gene-Term
presynaptic active zone cytoplasmic component	CTNND1	Gene-Term
integral component of postsynaptic mitochondrial membrane	SLC8A2	Gene-Term
integral component of postsynaptic mitochondrial membrane	SLC8A1	Gene-Term
extrinsic component of postsynaptic density membrane	CNKSR2	Gene-Term
synapse	PCDH8	Gene-Term
integral component of postsynaptic membrane	PCDH8	Gene-Term
postsynaptic density, intracellular component	CTNND1	Gene-Term
extrinsic component of presynaptic active zone membrane	DGKI	Gene-Term
synaptic vesicle	DGKI	Gene-Term
integral component of postsynaptic density membrane	GRIN1	Gene-Term
integral component of postsynaptic density membrane	GRIN2A	Gene-Term
integral component of postsynaptic density membrane	GRIN2B	Gene-Term
integral component of postsynaptic density membrane	GRIA1	Gene-Term
synapse	MADD	Gene-Term
synapse	ARFGAP1	Gene-Term
synapse	PPP2R2A	Gene-Term
integral component of postsynaptic membrane	NCAM1	Gene-Term
postsynaptic cytosol	DAG1	Gene-Term
postsynaptic specialization of symmetric synapse	IGSF9B	Gene-Term
presynaptic cytosol	LRRK2	Gene-Term
integral component of synaptic vesicle membrane	SLC22A2	Gene-Term
postsynaptic density	TSC2	Gene-Term
postsynapse	CDK5	Gene-Term
presynapse	VAMP1	Gene-Term
anchored component of synaptic vesicle membrane	RAB3B	Gene-Term
postsynapse	ACTR3	Gene-Term
postsynapse	WASL	Gene-Term
integral component of synaptic vesicle membrane	STX12	Gene-Term
presynaptic cytosol	SNCB	Gene-Term
extrinsic component of postsynaptic membrane	FBXO2	Gene-Term
integral component of postsynaptic density membrane	GRIA2	Gene-Term
postsynaptic density	RAPGEF4	Gene-Term
integral component of postsynaptic density membrane	GRIA3	Gene-Term
postsynaptic density	CTNND2	Gene-Term
integral component of postsynaptic density membrane	GRIA4	Gene-Term
integral component of postsynaptic density membrane	SLC30A1	Gene-Term
presynaptic cytosol	TRIM9	Gene-Term
synaptic vesicle	TRIM9	Gene-Term
postsynaptic density	MPDZ	Gene-Term
presynapse	AAK1	Gene-Term
integral component of postsynaptic membrane	DRD2	Gene-Term
integral component of presynaptic membrane	DRD2	Gene-Term
integral component of presynaptic membrane	DRD1	Gene-Term
integral component of postsynaptic membrane	DRD1	Gene-Term
integral component of postsynaptic membrane	DRD2	Gene-Term
integral component of presynaptic membrane	DRD1	Gene-Term
integral component of presynaptic membrane	DRD2	Gene-Term
postsynapse	PPP1CC	Gene-Term
presynapse	PPP1CC	Gene-Term
presynapse	PPP1CA	Gene-Term
postsynapse	PPP1CA	Gene-Term
presynaptic cytosol	LRRK2	Gene-Term
integral component of postsynaptic density membrane	DRD3	Gene-Term
integral component of presynaptic membrane	DRD4	Gene-Term
integral component of postsynaptic membrane	DRD4	Gene-Term
integral component of postsynaptic density membrane	DRD5	Gene-Term
presynapse	YWHAG	Gene-Term
integral component of presynaptic membrane	DRD5	Gene-Term
synapse	YWHAG	Gene-Term
synapse	YWHAE	Gene-Term
synapse	YWHAH	Gene-Term
postsynapse	EPN1	Gene-Term
presynapse	AP1G1	Gene-Term
postsynapse	NRGN	Gene-Term
postsynaptic density, intracellular component	NR3C2	Gene-Term
postsynaptic density, intracellular component	NR3C1	Gene-Term
presynaptic active zone cytoplasmic component	NR3C2	Gene-Term
postsynaptic membrane	NRGN	Gene-Term
integral component of postsynaptic density membrane	CHRM1	Gene-Term
integral component of presynaptic membrane	CHRM1	Gene-Term
integral component of postsynaptic membrane	CHRM2	Gene-Term
integral component of presynaptic membrane	CHRM2	Gene-Term
integral component of postsynaptic density membrane	CHRM3	Gene-Term
integral component of presynaptic membrane	CHRM3	Gene-Term
integral component of postsynaptic density membrane	CHRM4	Gene-Term
integral component of presynaptic membrane	CHRM4	Gene-Term
postsynapse	SYT11	Gene-Term
presynapse	YWHAH	Gene-Term
integral component of synaptic vesicle membrane	SYT11	Gene-Term
integral component of presynaptic active zone membrane	SYT11	Gene-Term
integral component of synaptic membrane	GHSR	Gene-Term
postsynaptic density membrane	RGS9	Gene-Term
anchored component of postsynaptic density membrane	MPP2	Gene-Term
integral component of postsynaptic density membrane	SLITRK1	Gene-Term
integral component of postsynaptic membrane	SLITRK3	Gene-Term
integral component of postsynaptic density membrane	SLC16A7	Gene-Term
integral component of postsynaptic density membrane	GRID2	Gene-Term
integral component of postsynaptic specialization membrane	LRFN3	Gene-Term
integral component of presynaptic active zone membrane	LRFN3	Gene-Term
presynaptic active zone	VPS11	Gene-Term
presynapse	VPS16	Gene-Term
presynapse	VPS18	Gene-Term
anchored component of postsynaptic recycling endosome membrane	ABHD17A	Gene-Term
presynapse	VPS35	Gene-Term
integral component of synaptic membrane	SLC2A3	Gene-Term
anchored component of postsynaptic density membrane	ABHD17B	Gene-Term
anchored component of postsynaptic recycling endosome membrane	ABHD17B	Gene-Term
anchored component of postsynaptic density membrane	ABHD17A	Gene-Term
integral component of postsynaptic density membrane	NRCAM	Gene-Term
integral component of postsynaptic specialization membrane	GABRA2	Gene-Term
integral component of postsynaptic density membrane	GRIN3A	Gene-Term
presynaptic endocytic zone	VPS35	Gene-Term
integral component of postsynaptic density membrane	SORCS3	Gene-Term
postsynaptic density	VHL	Gene-Term
postsynapse	ABL2	Gene-Term
postsynaptic density	ABL1	Gene-Term
postsynapse	ADD2	Gene-Term
presynapse	ADD1	Gene-Term
presynapse	ADD2	Gene-Term
presynapse	ADD3	Gene-Term
postsynapse	ADD1	Gene-Term
postsynapse	ADD2	Gene-Term
postsynapse	ADD3	Gene-Term
integral component of postsynaptic density membrane	GRID1	Gene-Term
integral component of postsynaptic density membrane	SLITRK1	Gene-Term
integral component of postsynaptic membrane	SLITRK2	Gene-Term
integral component of postsynaptic density membrane	SLITRK3	Gene-Term
postsynapse	VPS35	Gene-Term
presynaptic membrane	RGS9	Gene-Term
anchored component of postsynaptic density membrane	RGS7BP	Gene-Term
anchored component of presynaptic membrane	RGS7BP	Gene-Term
postsynaptic membrane	RGS7	Gene-Term
integral component of postsynaptic density membrane	CACNG7	Gene-Term
postsynapse	VPS35	Gene-Term
integral component of postsynaptic density membrane	CACNG3	Gene-Term
integral component of postsynaptic density membrane	CACNG8	Gene-Term
postsynaptic Golgi apparatus	MAPK10	Gene-Term
integral component of postsynaptic specialization membrane	SLITRK3	Gene-Term
integral component of postsynaptic specialization membrane	LRRTM1	Gene-Term
integral component of postsynaptic specialization membrane	LRRTM2	Gene-Term
integral component of postsynaptic specialization membrane	NLGN2	Gene-Term
presynaptic active zone cytoplasmic component	PPFIA3	Gene-Term
presynaptic cytosol	PPFIA2	Gene-Term
presynaptic active zone cytoplasmic component	ERC2	Gene-Term
presynapse	AP3D1	Gene-Term
postsynapse	AP3D1	Gene-Term
integral component of postsynaptic specialization membrane	NLGN1	Gene-Term
integral component of presynaptic active zone membrane	NRXN1	Gene-Term
integral component of postsynaptic specialization membrane	NLGN2	Gene-Term
integral component of postsynaptic specialization membrane	NLGN2	Gene-Term
postsynaptic endosome	CLSTN1	Gene-Term
integral component of postsynaptic density membrane	LRRC4	Gene-Term
integral component of postsynaptic specialization membrane	NLGN3	Gene-Term
integral component of presynaptic membrane	GABBR1	Gene-Term
integral component of postsynaptic specialization membrane	NLGN4X	Gene-Term
integral component of postsynaptic specialization membrane	NLGN4Y	Gene-Term
integral component of presynaptic active zone membrane	NRG1	Gene-Term
integral component of postsynaptic density membrane	NRG1	Gene-Term
postsynaptic density	FRMPD4	Gene-Term
postsynapse	NOS1AP	Gene-Term
synapse	WNT3A	Gene-Term
synapse	FZD4	Gene-Term
synapse	DVL3	Gene-Term
postsynapse	FZD9	Gene-Term
synapse	FZD5	Gene-Term
postsynaptic density	DVL1	Gene-Term
presynapse	CASKIN1	Gene-Term
postsynapse	ARHGAP39	Gene-Term
presynapse	NOS1AP	Gene-Term
integral component of postsynaptic density membrane	CLSTN3	Gene-Term
integral component of postsynaptic density membrane	CLSTN3	Gene-Term
integral component of postsynaptic density membrane	CLSTN2	Gene-Term
integral component of postsynaptic density membrane	CLSTN1	Gene-Term
integral component of spine apparatus membrane	CLSTN1	Gene-Term
presynapse	RGS7	Gene-Term
postsynapse	RGS7BP	Gene-Term
presynapse	GNB5	Gene-Term
presynapse	RGS7BP	Gene-Term
postsynaptic specialization	YWHAZ	Gene-Term
integral component of postsynaptic membrane	GPER1	Gene-Term
integral component of presynaptic membrane	GPER1	Gene-Term
postsynaptic density membrane	PACSIN1	Gene-Term
postsynapse	TRIO	Gene-Term
postsynaptic specialization, intracellular component	ZDHHC5	Gene-Term
presynapse	KIAA1107	Gene-Term
postsynaptic endocytic zone membrane	RAB5A	Gene-Term
postsynaptic endocytic zone	SH3GLB2	Gene-Term
postsynaptic density	NUMB	Gene-Term
postsynaptic density	RGS14	Gene-Term
synapse	USP46	Gene-Term
postsynaptic endocytic zone	CALY	Gene-Term
postsynaptic endocytic zone membrane	DNM3	Gene-Term
postsynaptic endocytic zone	CLTA	Gene-Term
postsynaptic density, intracellular component	DNM2	Gene-Term
synapse	EPS15	Gene-Term
postsynaptic density	HSPA8	Gene-Term
postsynapse	HSPA8	Gene-Term
presynapse	HSPA8	Gene-Term
postsynapse	DNAJB1	Gene-Term
postsynaptic actin cytoskeleton	MYH10	Gene-Term
presynapse	SGIP1	Gene-Term
postsynaptic density, intracellular component	SH3GL1	Gene-Term
presynapse	SH3GL1	Gene-Term
synaptic vesicle membrane	SH3GL2	Gene-Term
postsynaptic density, intracellular component	SH3GL3	Gene-Term
postsynaptic density membrane	ARC	Gene-Term
postsynaptic endosome	SH3GL3	Gene-Term
postsynaptic endosome	ARC	Gene-Term
postsynaptic density	PIP5K1C	Gene-Term
postsynaptic actin cytoskeleton	SYNE1	Gene-Term
postsynapse	ATAD1	Gene-Term
postsynaptic specialization membrane	HSPA8	Gene-Term
synapse	LIN7C	Gene-Term
postsynaptic endocytic zone	PICK1	Gene-Term
presynapse	CALY	Gene-Term
presynaptic active zone	TRIO	Gene-Term
integral component of presynaptic membrane	ANO1	Gene-Term
integral component of presynaptic membrane	ANO2	Gene-Term
synapse	CDH9	Gene-Term
postsynapse	TAOK2	Gene-Term
presynaptic ribosome	RPS6	Gene-Term
postsynapse	RAB17	Gene-Term
postsynapse	ARFGEF2	Gene-Term
synapse	AXIN1	Gene-Term
synapse	BCAS1	Gene-Term
synapse	CDH6	Gene-Term
synapse	CDH10	Gene-Term
postsynapse	SH3GL2	Gene-Term
synaptic cleft	NPTX2	Gene-Term
integral component of presynaptic membrane	SLC22A2	Gene-Term
postsynaptic density, intracellular component	GRIP2	Gene-Term
postsynaptic specialization	LHFPL4	Gene-Term
postsynaptic septin cytoskeleton	SEPT7	Gene-Term
postsynapse	ARHGEF15	Gene-Term
presynaptic active zone membrane	VDAC1	Gene-Term
integral component of postsynaptic density membrane	VDAC1	Gene-Term
postsynapse	DACT1	Gene-Term
postsynaptic density	DISC1	Gene-Term
presynapse	DISC1	Gene-Term
postsynaptic density	DLG5	Gene-Term
postsynapse	DOCK10	Gene-Term
presynaptic active zone cytoplasmic component	CTBP2	Gene-Term
postsynapse	STX4	Gene-Term
presynapse	ARFGEF2	Gene-Term
postsynapse	DBNL	Gene-Term
presynapse	DBNL	Gene-Term
integral component of postsynaptic specialization membrane	GABRB2	Gene-Term
postsynapse	CALD1	Gene-Term
postsynapse	CNN3	Gene-Term
postsynapse	COMT	Gene-Term
postsynaptic density	CPEB1	Gene-Term
postsynapse	CPSF2	Gene-Term
postsynaptic density	AURKA	Gene-Term
postsynaptic density	TACC3	Gene-Term
postsynapse	EIF4E	Gene-Term
postsynaptic density, intracellular component	CRIPT	Gene-Term
integral component of postsynaptic specialization membrane	KCNB1	Gene-Term
integral component of postsynaptic membrane	KCNJ2	Gene-Term
integral component of postsynaptic membrane	KCNN2	Gene-Term
integral component of postsynaptic membrane	KCNN2	Gene-Term
postsynapse	HIP1R	Gene-Term
postsynaptic actin cytoskeleton	ITPKA	Gene-Term
integral component of postsynaptic density membrane	KCNAB2	Gene-Term
postsynapse	KLHL17	Gene-Term
integral component of presynaptic active zone membrane	GABRB2	Gene-Term
synaptic cleft	C1QL2	Gene-Term
synaptic cleft	C1QL3	Gene-Term
postsynapse	BCL11A	Gene-Term
postsynaptic density, intracellular component	DICER1	Gene-Term
postsynaptic density	DROSHA	Gene-Term
postsynaptic density	DGCR8	Gene-Term
synaptic cleft	C1QL1	Gene-Term
postsynaptic density	EEF2K	Gene-Term
postsynaptic actin cytoskeleton	KPTN	Gene-Term
integral component of presynaptic membrane	LPAR1	Gene-Term
integral component of postsynaptic density membrane	ADGRB3	Gene-Term
anchored component of postsynaptic density membrane	LZTS1	Gene-Term
postsynaptic density	LZTS3	Gene-Term
postsynaptic density	GRK2	Gene-Term
presynapse	GRK2	Gene-Term
postsynaptic density	GRK3	Gene-Term
presynapse	GRK3	Gene-Term
integral component of presynaptic membrane	KCNQ5	Gene-Term
postsynapse	MARK2	Gene-Term
postsynapse	SPTB	Gene-Term
postsynapse	SPTAN1	Gene-Term
postsynaptic density	DAPK1	Gene-Term
postsynapse	ROR2	Gene-Term
postsynapse	MYO9A	Gene-Term
postsynaptic density	RBMX	Gene-Term
postsynaptic density	HNRNPD	Gene-Term
postsynaptic density	HNRNPM	Gene-Term
postsynaptic density	HNRNPA2B1	Gene-Term
integral component of postsynaptic density membrane	ITGA8	Gene-Term
postsynapse	AGAP2	Gene-Term
extrinsic component of postsynaptic density membrane	CNKSR2	Gene-Term
presynaptic active zone	ARFGAP3	Gene-Term
presynapse	GAD1	Gene-Term
presynapse	GAD2	Gene-Term
integral component of postsynaptic density membrane	SEMA4F	Gene-Term
postsynaptic ribosome	RPL10	Gene-Term
postsynaptic ribosome	RPL10A	Gene-Term
postsynaptic ribosome	RPL11	Gene-Term
synapse	RPL12	Gene-Term
postsynaptic ribosome	RPL12	Gene-Term
postsynaptic ribosome	RPL13	Gene-Term
synapse	RPL13	Gene-Term
synapse	RPL13A	Gene-Term
postsynaptic ribosome	RPL13A	Gene-Term
synapse	RPL14	Gene-Term
postsynaptic ribosome	RPL14	Gene-Term
synapse	RPL17	Gene-Term
postsynaptic ribosome	RPL17	Gene-Term
synapse	RPL15	Gene-Term
postsynaptic ribosome	RPL15	Gene-Term
postsynaptic ribosome	RPL18	Gene-Term
postsynaptic ribosome	RPL21	Gene-Term
synapse	RPL21	Gene-Term
synapse	RPL22	Gene-Term
postsynaptic ribosome	RPL23	Gene-Term
postsynaptic ribosome	RPL22	Gene-Term
synapse	RPL23	Gene-Term
synapse	RPL23A	Gene-Term
postsynaptic ribosome	RPL23A	Gene-Term
postsynaptic ribosome	RPL26	Gene-Term
synapse	RPL24	Gene-Term
synapse	RPL27	Gene-Term
synapse	RPL26	Gene-Term
synapse	RPL27A	Gene-Term
synapse	RPL28	Gene-Term
synapse	RPL30	Gene-Term
synapse	RPL32	Gene-Term
synapse	RPL35	Gene-Term
synapse	RPL8	Gene-Term
synapse	RPL35A	Gene-Term
synapse	RPL36A	Gene-Term
synapse	RPL37A	Gene-Term
synapse	RPL38	Gene-Term
synapse	RPLP1	Gene-Term
postsynaptic ribosome	RPL24	Gene-Term
postsynaptic ribosome	RPL27	Gene-Term
postsynaptic ribosome	RPL27A	Gene-Term
postsynaptic ribosome	RPL28	Gene-Term
postsynaptic ribosome	RPL29	Gene-Term
postsynaptic ribosome	RPL31	Gene-Term
postsynaptic ribosome	RPL30	Gene-Term
postsynaptic ribosome	RPL32	Gene-Term
postsynaptic ribosome	RPL34	Gene-Term
synapse	RPL34	Gene-Term
postsynaptic ribosome	RPL35	Gene-Term
postsynaptic ribosome	RPL35A	Gene-Term
postsynaptic ribosome	RPL36	Gene-Term
postsynaptic ribosome	RPL36A	Gene-Term
postsynaptic ribosome	RPL37	Gene-Term
postsynaptic ribosome	RPL37A	Gene-Term
postsynaptic ribosome	RPL38	Gene-Term
postsynaptic ribosome	RPL4	Gene-Term
postsynaptic ribosome	RPL5	Gene-Term
postsynaptic ribosome	RPL6	Gene-Term
postsynaptic ribosome	RPL7	Gene-Term
postsynaptic ribosome	RPL7A	Gene-Term
postsynaptic ribosome	RPL8	Gene-Term
postsynaptic ribosome	RPLP0	Gene-Term
postsynaptic ribosome	RPLP1	Gene-Term
postsynaptic ribosome	RPLP2	Gene-Term
postsynaptic ribosome	UBA52	Gene-Term
synapse	RPS10	Gene-Term
synapse	RPS11	Gene-Term
synapse	RPS12	Gene-Term
synapse	RPS14	Gene-Term
synapse	RPS15A	Gene-Term
synapse	RPS16	Gene-Term
synapse	RPS24	Gene-Term
synapse	RPS26	Gene-Term
synapse	RPS27A	Gene-Term
synapse	RPS28	Gene-Term
synapse	RPS5	Gene-Term
postsynaptic ribosome	RPS10	Gene-Term
postsynaptic ribosome	RPS11	Gene-Term
postsynaptic ribosome	RPS12	Gene-Term
postsynaptic ribosome	RPS14	Gene-Term
postsynaptic ribosome	RPS15A	Gene-Term
postsynaptic ribosome	RPS16	Gene-Term
postsynaptic ribosome	RPS24	Gene-Term
postsynaptic ribosome	RPS26	Gene-Term
postsynaptic ribosome	RPS27A	Gene-Term
postsynaptic ribosome	RPS28	Gene-Term
postsynaptic ribosome	RPS5	Gene-Term
postsynaptic ribosome	RPS13	Gene-Term
postsynaptic ribosome	RPS15	Gene-Term
postsynaptic ribosome	RPS17	Gene-Term
postsynaptic ribosome	RPS18	Gene-Term
postsynaptic ribosome	RPS19	Gene-Term
postsynaptic ribosome	RPS2	Gene-Term
postsynaptic ribosome	RPS20	Gene-Term
postsynaptic ribosome	RPS21	Gene-Term
postsynaptic ribosome	RPS23	Gene-Term
synapse	RPS27	Gene-Term
postsynaptic ribosome	RPS3	Gene-Term
postsynaptic ribosome	RPS3A	Gene-Term
postsynaptic ribosome	RPS6	Gene-Term
postsynaptic ribosome	RPS7	Gene-Term
postsynaptic ribosome	RPS8	Gene-Term
postsynaptic ribosome	RPS9	Gene-Term
postsynaptic ribosome	RPSA	Gene-Term
postsynaptic ribosome	RPL9	Gene-Term
presynaptic ribosome	RPL9	Gene-Term
presynaptic ribosome	RPL10	Gene-Term
presynaptic ribosome	RPL10A	Gene-Term
presynaptic ribosome	RPL11	Gene-Term
presynaptic ribosome	RPL12	Gene-Term
presynaptic ribosome	RPL13	Gene-Term
presynaptic ribosome	RPL13A	Gene-Term
presynaptic ribosome	RPL14	Gene-Term
presynaptic ribosome	RPL17	Gene-Term
presynaptic ribosome	RPL15	Gene-Term
presynaptic ribosome	RPL18	Gene-Term
presynaptic ribosome	RPL23	Gene-Term
presynaptic ribosome	RPL23A	Gene-Term
presynaptic ribosome	RPL26	Gene-Term
presynaptic ribosome	RPL24	Gene-Term
presynaptic ribosome	RPL27	Gene-Term
presynaptic ribosome	RPL27A	Gene-Term
presynaptic ribosome	RPL28	Gene-Term
presynaptic ribosome	RPL29	Gene-Term
presynaptic ribosome	RPL32	Gene-Term
presynaptic ribosome	RPL34	Gene-Term
presynaptic ribosome	RPL35	Gene-Term
presynaptic ribosome	RPL35A	Gene-Term
presynaptic ribosome	RPL36	Gene-Term
presynaptic ribosome	RPL36A	Gene-Term
presynaptic ribosome	RPL37	Gene-Term
presynaptic ribosome	RPL37A	Gene-Term
presynaptic ribosome	RPL38	Gene-Term
presynaptic ribosome	RPL4	Gene-Term
presynaptic ribosome	RPL5	Gene-Term
presynaptic ribosome	RPL6	Gene-Term
presynaptic ribosome	RPL7	Gene-Term
presynaptic ribosome	RPL7A	Gene-Term
presynaptic ribosome	RPL8	Gene-Term
presynaptic ribosome	RPLP0	Gene-Term
presynaptic ribosome	RPLP2	Gene-Term
presynaptic ribosome	UBA52	Gene-Term
presynaptic ribosome	RPS10	Gene-Term
presynaptic ribosome	RPS11	Gene-Term
presynaptic ribosome	RPS12	Gene-Term
presynaptic ribosome	RPS14	Gene-Term
presynaptic ribosome	RPS15A	Gene-Term
presynaptic ribosome	RPS16	Gene-Term
presynaptic ribosome	RPS24	Gene-Term
presynaptic ribosome	RPS26	Gene-Term
presynaptic ribosome	RPS27A	Gene-Term
presynaptic ribosome	RPS28	Gene-Term
presynaptic ribosome	RPS5	Gene-Term
presynaptic ribosome	RPS13	Gene-Term
synaptic vesicle	SNAP29	Gene-Term
synapse	RPS27	Gene-Term
presynaptic ribosome	RPS27	Gene-Term
postsynaptic ribosome	RPS27	Gene-Term
postsynaptic density, intracellular component	INA	Gene-Term
