Parent	Child	EdgeType
postsynaptic ER membrane	integral component of postsynaptic ER membrane	Child-Parent
postsynaptic ER	postsynaptic SER	Child-Parent
postsynaptic SER	postsynaptic SER lumen	Child-Parent
postsynaptic SER	postsynaptic SER membrane	Child-Parent
postsynaptic SER membrane	anchored component of postsynaptic SER membrane	Child-Parent
postsynaptic SER membrane	extrinsic component of postsynaptic SER membrane	Child-Parent
postsynaptic SER membrane	integral component of postsynaptic SER membrane	Child-Parent
postsynaptic ER	postsynaptic RER	Child-Parent
postsynaptic RER	postsynaptic RER lumen	Child-Parent
postsynaptic RER	postsynaptic RER membrane	Child-Parent
postsynaptic RER membrane	anchored component of postsynaptic RER membrane	Child-Parent
postsynaptic RER membrane	extrinsic component of postsynaptic RER membrane	Child-Parent
postsynaptic RER membrane	integral component of postsynaptic RER membrane	Child-Parent
synapse	extrasynaptic space	Child-Parent
perisynaptic space	perisynaptic extracellular matrix	Child-Parent
integral component of presynaptic membrane	KCNH1	Gene-Term
integral component of presynaptic membrane	KCNA4	Gene-Term
integral component of postsynaptic membrane	KCNA4	Gene-Term
integral component of presynaptic membrane	KCNC1	Gene-Term
integral component of postsynaptic membrane	KCNC3	Gene-Term
integral component of presynaptic membrane	KCNC3	Gene-Term
presynaptic cytoskeleton	VAPA	Gene-Term
integral component of postsynaptic density membrane	NPTN	Gene-Term
integral component of presynaptic active zone membrane	NPTN	Gene-Term
synaptic membrane	NPTN	Gene-Term
presynapse	FBXO45	Gene-Term
presynapse	FBXO45	Gene-Term
presynaptic active zone membrane	NAPA	Gene-Term
postsynapse	SNAP23	Gene-Term
extrinsic component of presynaptic membrane	SNAP25	Gene-Term
synaptic vesicle	SNAPIN	Gene-Term
anchored component of synaptic vesicle membrane	RAB26	Gene-Term
anchored component of synaptic vesicle membrane	RAB27B	Gene-Term
anchored component of synaptic vesicle membrane	RAB3A	Gene-Term
anchored component of synaptic vesicle membrane	RAB3A	Gene-Term
anchored component of synaptic vesicle membrane	RAB3B	Gene-Term
anchored component of synaptic vesicle membrane	RAB3C	Gene-Term
presynaptic active zone cytoplasmic component	RIMS1	Gene-Term
synapse	PPM1H	Gene-Term
presynaptic cytosol	PRKCG	Gene-Term
presynaptic cytosol	PRKCA	Gene-Term
presynaptic cytosol	PRKCB	Gene-Term
presynaptic active zone cytoplasmic component	RIMS1	Gene-Term
presynaptic cytosol	CTBP2	Gene-Term
presynaptic active zone cytoplasmic component	CTBP2	Gene-Term
postsynaptic cytosol	RIMS3	Gene-Term
synapse	PLD1	Gene-Term
integral component of postsynaptic density membrane	ATP2B2	Gene-Term
integral component of postsynaptic membrane	ATP2B2	Gene-Term
integral component of presynaptic membrane	ATP2B3	Gene-Term
integral component of presynaptic active zone membrane	ATP2B2	Gene-Term
integral component of presynaptic active zone membrane	ATP2B1	Gene-Term
integral component of presynaptic active zone membrane	ATP2B4	Gene-Term
presynaptic active zone cytoplasmic component	BSN	Gene-Term
presynaptic active zone cytoplasmic component	RIMS1	Gene-Term
presynaptic active zone cytoplasmic component	BSN	Gene-Term
presynaptic cytosol	PRKCE	Gene-Term
presynaptic active zone cytoplasmic component	PCLO	Gene-Term
postsynaptic density, intracellular component	CABP1	Gene-Term
presynaptic active zone cytoplasmic component	RIMBP2	Gene-Term
presynaptic active zone cytoplasmic component	RIMS2	Gene-Term
postsynaptic cytosol	FBXO45	Gene-Term
presynaptic active zone cytoplasmic component	BSN	Gene-Term
anchored component of synaptic vesicle membrane	DNAJC5	Gene-Term
anchored component of synaptic vesicle membrane	RAB5A	Gene-Term
anchored component of synaptic vesicle membrane	RAB5B	Gene-Term
presynaptic cytosol	PNKD	Gene-Term
anchored component of synaptic vesicle membrane	RAB5C	Gene-Term
anchored component of synaptic vesicle membrane	RAB35	Gene-Term
anchored component of synaptic vesicle membrane	RAB11B	Gene-Term
postsynaptic cytosol	PRKCD	Gene-Term
postsynaptic specialization	ARHGEF9	Gene-Term
integral component of presynaptic ER membrane	ITPR3	Gene-Term
integral component of postsynaptic SER membrane	ITPR1	Gene-Term
integral component of presynaptic SER membrane	ITPR1	Gene-Term
presynaptic membrane	EXOC3	Gene-Term
presynaptic cytosol	PPP3CC	Gene-Term
integral component of presynaptic membrane	KCNC2	Gene-Term
integral component of presynaptic membrane	KCNC4	Gene-Term
integral component of postsynaptic membrane	KCNC4	Gene-Term
integral component of presynaptic membrane	KCNC4	Gene-Term
integral component of presynaptic membrane	KCNC1	Gene-Term
integral component of presynaptic membrane	KCNA1	Gene-Term
integral component of postsynaptic membrane	KCNA1	Gene-Term
integral component of postsynaptic membrane	KCNC1	Gene-Term
integral component of presynaptic membrane	KCNA2	Gene-Term
integral component of postsynaptic membrane	KCNA2	Gene-Term
integral component of presynaptic membrane	KCNA3	Gene-Term
integral component of postsynaptic membrane	KCNA3	Gene-Term
integral component of postsynaptic membrane	KCNC4	Gene-Term
anchored component of synaptic vesicle membrane	RAB10	Gene-Term
anchored component of synaptic vesicle membrane	RAB4B	Gene-Term
anchored component of synaptic vesicle membrane	RAB4A	Gene-Term
anchored component of synaptic vesicle membrane	RAB14	Gene-Term
postsynaptic cytosol	FMR1	Gene-Term
presynaptic cytosol	FMR1	Gene-Term
synapse	FLOT1	Gene-Term
extrinsic component of postsynaptic endosome membrane	SNX1	Gene-Term
anchored component of synaptic vesicle membrane	RAB7A	Gene-Term
presynapse	RAB8B	Gene-Term
synapse	RAB8A	Gene-Term
synapse	RAB1B	Gene-Term
presynapse	RAB1A	Gene-Term
presynapse	RAB6A	Gene-Term
presynapse	RAB6B	Gene-Term
integral component of postsynaptic density membrane	GRM1	Gene-Term
postsynapse	GRIP1	Gene-Term
integral component of postsynaptic membrane	GRM5	Gene-Term
postsynapse	FLNA	Gene-Term
postsynaptic density	HOMER1	Gene-Term
postsynaptic density	HOMER2	Gene-Term
postsynaptic density	HOMER3	Gene-Term
postsynaptic actin cytoskeleton	FILIP1	Gene-Term
postsynaptic actin cytoskeleton	CTTN	Gene-Term
postsynaptic actin cytoskeleton	CTTNBP2	Gene-Term
extrinsic component of postsynaptic early endosome membrane	GRIPAP1	Gene-Term
postsynaptic actin cytoskeleton	DBN1	Gene-Term
integral component of postsynaptic membrane	CADM1	Gene-Term
presynapse	CASK	Gene-Term
extrinsic component of postsynaptic specialization membrane	NPTX2	Gene-Term
integral component of presynaptic membrane	CADM3	Gene-Term
postsynaptic cytosol	HOMER1	Gene-Term
anchored component of synaptic vesicle membrane	RAB2A	Gene-Term
synapse	RAB21	Gene-Term
presynapse	RAB33B	Gene-Term
synapse	RAB18	Gene-Term
postsynapse	ADAM10	Gene-Term
postsynaptic cytosol	PRKCG	Gene-Term
integral component of postsynaptic membrane	EPHB2	Gene-Term
integral component of presynaptic membrane	EPHB2	Gene-Term
integral component of presynaptic membrane	EPHA4	Gene-Term
integral component of postsynaptic membrane	EPHA4	Gene-Term
presynaptic active zone	FLOT1	Gene-Term
anchored component of presynaptic active zone membrane	FLOT2	Gene-Term
synapse	FLOT2	Gene-Term
spine apparatus	SYNPO	Gene-Term
extrinsic component of postsynaptic membrane	CRKL	Gene-Term
synapse	PPP3R1	Gene-Term
presynaptic cytosol	NSF	Gene-Term
anchored component of presynaptic membrane	SNAP25	Gene-Term
integral component of synaptic vesicle membrane	VAMP1	Gene-Term
integral component of presynaptic membrane	KCNQ5	Gene-Term
integral component of presynaptic membrane	KCNJ3	Gene-Term
integral component of presynaptic membrane	KCNJ6	Gene-Term
integral component of presynaptic membrane	KCNJ9	Gene-Term
integral component of synaptic vesicle membrane	VAMP2	Gene-Term
integral component of presynaptic endosome membrane	VAMP4	Gene-Term
integral component of presynaptic active zone membrane	CANX	Gene-Term
