,genes
860,SLC1A3
861,SLC1A4
862,SLC1A6
863,SLC1A7
864,SLC25A4
865,SLC25A5
866,SLC2A1
867,SLC2A3
868,SLC30A1
869,SLC30A3
870,SLC30A4
871,SLC30A5
872,SLC30A6
873,SLC30A7
874,SLC30A9
875,SLC32A1
876,SLC35d3
877,SLC38A3
878,SLC3A2
879,SLC4A1
880,SLC4A10
881,SLC4A4
882,SLC6A1
883,SLC6A17
884,SLC6A2
885,SLC6A3
886,SLC6A4
887,SLC6A5
888,SLC6A6
889,SLC6A7
890,SLC6A8
891,SLC6A9
892,SLC7A5
893,SLC8A1
894,SLC8A2
895,SLC8A3
896,SLC9A3R1
897,SMPD3
898,SNAP23
899,SNAP25
900,SNAP29
901,SNAP91
902,SNAPIN
903,SNCA
904,SNCB
905,SNIP
906,SNX5
907,SORBS1
908,SPG3A
909,SPTAN1
910,SPTB
911,SPTBN1
912,SPTBN2
913,SST
914,STIP1
915,STMN1
916,STX12
917,STX16
918,STX1A
919,STX1B
920,STX2
921,STX3
922,STX4
923,STX5
924,STX6
925,STX7
926,STX8
927,STXBP1
928,STXBP2
929,STXBP3
930,STXBP4
931,STXBP5
932,STXBP5L
933,STXBP6
934,SV2A
935,SV2B
936,SV2C
937,SVOP
938,SYN1
939,SYN2
940,SYN3
941,SYNGR1
942,SYNGR2
943,SYNGR3
944,SYNJ1
945,SYNJ2
946,SYNPR
947,SYP
948,SYPL1
949,SYT1
950,SYT12
951,SYT2
952,SYT3
953,SYT5
954,SYT6
955,SYT7
956,SYT9
957,SYTL1
958,SYTL2
959,SYTL3
960,SYTL4
961,SYTL5
962,TAGLN3
963,TCP1
964,THY1
965,TKT
966,TLN2
967,TMED10
968,TMEM30A
969,TMEM65
970,TMOD2
971,TMPRSS9
972,TMSB4X
973,TNR
974,TPH1
975,TPH2
976,TRAPPC1
977,TRAPPC3
978,TRAPPC5
979,TTYH1
980,TTYH3
981,TUBA1A
982,TUBA4B
983,TUBB
984,TUBB2A
985,TUBB2B
986,TUBB2C
987,TUBB3
988,TUBB4
989,TXN
990,UBA1
991,UBE2N
992,UBE2V2
993,UCHL1
994,UNC13A
995,UNC13B
996,UNC13C
997,UNC13D
998,USP5
999,VAMP1
1000,VAMP2
1001,VAMP3
1002,VAMP4
1003,VAMP7
1004,VAPA
1005,VCP
1006,VDAC1
1007,VDAC3
1008,VPS33A
1009,VPS33B
1010,VPS45
1011,VSNL1
1012,VTI1A
1013,WASF1
1014,WASL
1015,WDR1
1016,WDR37
1017,WDR7
1018,WFS1
1019,WNK1
1020,YWHAB
1021,YWHAE
1022,YWHAG
1023,YWHAH
1024,YWHAQ
1025,YWHAZ
1026,ZFYVE20
1027,HTT
